generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-615.5034578199245,-1270.1677868245356,-1575.8837614352033,-1775.0830665806816,-3036.265260982752,-1471.4764327453097,36.9125767342519,65.24160345541765
1,-577.8793647181444,-614.0156908426185,-618.9705462322178,-620.5511709724786,-682.131989181195,-616.0650534660234,37.30607283385933,61.51854375520037
2,-530.6177541043965,-576.4699117265425,-578.2355842400125,-580.3573121982931,-611.7625669842669,-577.8828875373222,35.25537045762085,56.58731245620173
3,-495.0941378018496,-528.1898055796873,-531.7741412917671,-533.4820023376681,-610.3000214283384,-530.585693497077,35.234595031595006,53.032873283344465
4,-456.46651538867974,-492.55801187875676,-497.79543194731525,-498.3207321303391,-594.0291240844421,-495.1870903868239,32.772025935295005,48.92385413239747
5,-424.0142354118471,-454.7060461947045,-458.00017816359906,-459.8168974892986,-505.05063360102804,-456.581952216356,32.778505481891976,45.679274089373905
6,-396.6508296847745,-421.861065771635,-424.9749987918758,-427.09210610727575,-468.8877833991092,-423.98760078805213,29.257598826999715,42.59084285117742
7,-370.32660886217303,-395.58169922335225,-399.0240005288457,-401.6956066764715,-438.08424547388626,-397.0607623625961,26.582010645388742,39.69086195075617
8,-355.5033095110528,-368.161431737075,-371.79650047916954,-373.0334970933556,-412.3561065103906,-370.38975696242204,26.675123296295364,38.21784328073481
9,-331.4051883487897,-353.0103166338872,-357.42009326570184,-357.44513647726734,-435.1476439901313,-355.50827655979634,24.44800493685481,35.58531932856445
10,-304.77101547971466,-330.24564559054625,-332.7678426646307,-334.90539741130914,-357.24006540818567,-331.72103852879115,22.52433699279438,32.7295352472509
11,-276.28114986347254,-304.2692275640739,-308.6587691379969,-309.185251821388,-365.4184491384469,-304.9953534298842,20.055313450718998,29.63364633141915
12,-262.66588277254993,-275.37999314314095,-277.567330794332,-278.50925013982845,-298.47649872928,-276.4073591851097,20.076469418454504,28.274235219100447
13,-241.37584420202575,-261.3708243312197,-263.57842989582184,-264.94934703322616,-286.2803768054941,-262.7349488285903,20.070223012479616,26.14460672145054
14,-231.85418740881397,-240.43819109753827,-242.29531436329023,-243.35021853212086,-273.0595593224122,-241.40644660448964,19.59780860665774,25.14519960154717
15,-218.36227846462143,-231.1606590181882,-233.60125346689404,-233.81869466872294,-266.3075811816212,-231.90293068496328,19.611888152949103,23.79741666175705
16,-206.780460254132,-218.16292321584126,-220.23215956528767,-221.6719007007846,-241.6590260815587,-218.70566922666345,19.61207478721567,22.639253504134768
17,-196.56356771257526,-206.24645569479074,-208.6788009938977,-210.32185769472724,-234.314394735161,-207.1108144345933,19.630308979347515,21.619387669192278
18,-186.85926833692017,-196.19575547145695,-198.0481002015353,-199.11759233338555,-212.39446741401264,-196.8722098365851,19.62766322614004,20.64869315630602
19,-175.42528728782045,-186.481482096352,-188.44940224833238,-189.0117043957788,-213.19076945167498,-187.11095330712163,18.789420039996088,19.421470732781653
20,-163.36110982883648,-174.92794357198818,-176.11268197382708,-176.91951411036786,-193.36224875351124,-175.43843112207938,18.829674572819528,18.2190784401656
21,-155.01121577361954,-162.86912908031755,-164.49844382967257,-164.98919464361296,-187.24452653062747,-163.41656869263426,17.58804928171305,17.259926505533258
22,-150.24974707401532,-154.8593213036255,-157.2285670675669,-157.31557917486808,-183.75273876893326,-155.222180998557,16.188263812147973,16.64380108861633
23,-141.0640971845847,-149.78284633556848,-151.50448572644362,-152.6734904755484,-166.70342741758463,-150.38735527313122,14.942129604616532,15.600622678920123
24,-134.5084879641493,-140.80977362980752,-142.14629753992278,-142.4005421839423,-161.24746071858777,-141.22886229144797,14.94531017407802,14.945379813822733
25,-130.3401851223877,-134.24415366741826,-135.7178919093757,-136.20236928521155,-153.99523314886545,-134.5391951316612,14.935918344012846,14.527610346640055
26,-126.32258868654354,-129.91989355522728,-131.2279662081327,-131.66394009962175,-156.63431527311928,-130.41595072851166,14.942436645945962,14.126502533248951
27,-119.21291665871084,-125.69840031026179,-127.54067393377066,-128.30496283575454,-145.1070336716824,-126.58718226427473,14.933077879521813,13.414599453823266
28,-113.58507988809897,-118.98080858080762,-120.09714838761744,-120.75781989035794,-133.22528814200098,-119.2160260116888,14.03711516328569,12.762219505138466
29,-106.04884745976074,-113.2748673061541,-114.71597369640452,-115.05895436797276,-132.57740473286214,-113.65020681722545,12.509802110358724,11.855864957011946
30,-102.05638628198406,-105.7913918485123,-107.30332560830368,-108.11870697988635,-121.45846170144476,-106.1643488206838,12.553541483080778,11.460992776506483
31,-98.37959235573126,-101.7382863308932,-103.09146237463186,-103.86953451684055,-115.21831616963055,-102.27072080541977,12.435122585928466,11.081471494165973
32,-93.27134979136407,-98.08725715617328,-99.29548036733199,-99.80919835607318,-112.3333842399492,-98.4363705034044,11.594852562952937,10.486620235431701
33,-89.7953290740274,-92.95428284467133,-94.11396037267163,-94.23836970177504,-114.81706281546684,-93.26830140403648,11.345305352034748,10.114063442606215
34,-85.7218019050491,-89.60819219283098,-90.53001714665746,-91.42707837953672,-98.94913546715745,-89.91080620388064,10.283057595916432,9.600485950096553
35,-81.36136718379647,-85.56896104383328,-86.78726056613256,-87.09283500010717,-99.65669107153354,-85.77830427022579,10.115112386476925,9.14764795702734
36,-76.84437734679355,-81.26476855009948,-82.30511659937387,-82.92236225842987,-92.072517710974,-81.46843040470327,9.79429289350584,8.663867024029939
37,-74.59282003758798,-76.60235396307638,-77.48554782134735,-77.91807163778135,-85.13551301420895,-76.91533470556963,9.819272418167255,8.441209245575525
38,-68.76493727639524,-74.38328341983821,-75.2330965818304,-75.5139391340259,-83.1433672927599,-74.71919481479573,8.677192312189389,7.744212958858464
39,-66.45093809264043,-68.70524034075075,-69.74026588377939,-70.10594200842355,-75.4958472788089,-68.90577711267687,8.373883910190257,7.482482200283068
40,-63.54430939856668,-66.23067415943106,-67.2047229999668,-67.67234470856543,-75.47448067405941,-66.5315164954558,7.938499543080766,7.1482808941647455
41,-61.819142459709084,-63.358038106868065,-64.12255535831109,-64.31228554541843,-70.1144348269057,-63.60832742391523,7.93554449732822,6.97546869570373
42,-58.90020269810488,-61.791722927046564,-62.46891627378741,-62.70716223287641,-67.75726691180279,-61.94506733079626,7.935530122604195,6.683573282070907
43,-55.305530192327865,-58.86784320819794,-59.63348545220623,-59.84450802310276,-67.18222350568163,-58.99432342299568,7.274585553450572,6.258011574577844
44,-53.23771581779755,-55.191564234572134,-56.13441984721281,-56.395129106955494,-63.92606643382995,-55.440858914045215,7.217037124230176,6.045475294202772
45,-50.69671348592565,-53.21833915300555,-53.97183032485586,-54.506141609207404,-64.78883306993337,-53.383193165093886,6.51368581887705,5.72103993048027
46,-49.08749492850639,-50.65404969426332,-51.356250543706516,-51.79765773261304,-56.075882351073915,-50.80424953374901,6.042249736948512,5.51297446654549
47,-46.96927587836517,-49.05404412467757,-50.0018514346312,-50.67926538992638,-56.013427776040025,-49.23135902671342,6.042397925772881,5.301167380413805
48,-44.021663288415866,-46.83980051988935,-47.506660014103616,-47.65126854048303,-53.18563616427054,-46.99812363361009,5.841008972182397,4.986267226059826
49,-43.06296066543283,-43.96136485113387,-44.84896016839534,-45.53037707334349,-49.068630852125715,-44.17907252726178,5.820960807753928,4.888392147318676
50,-41.48754308823321,-42.94336009496906,-43.543281172439194,-43.68899225547708,-51.59073700623041,-43.12312577354159,5.751726749031416,4.723926983726463
51,-40.289698007711515,-41.43285605946195,-41.931856018582174,-42.17766100545317,-45.318204632471414,-41.54211318644437,5.751717590296258,4.6041415598007776
52,-38.47600996446124,-40.12154306526531,-40.71701734560339,-40.765073605208826,-45.90429475481638,-40.32265650012829,5.748599980995297,4.422460994545654
53,-36.90755870211567,-38.415422439182635,-39.09890532761931,-39.4836827108777,-43.44924297405293,-38.52947537083631,5.745513386624627,4.26530720887403
54,-35.067795477319834,-36.8075841504906,-37.4099155727256,-38.02869843240722,-41.31587932867166,-36.935474524671136,5.788087091555017,4.085588256887485
55,-33.72724845520018,-34.93746568530236,-35.390031851276234,-35.481531860849955,-42.66070681834469,-35.117987993237435,5.398708456579731,3.9125956911779913
56,-32.75703122112258,-33.717536364993066,-34.380708851925405,-34.40727760166667,-39.10924346073743,-33.8679363794357,5.396109840315314,3.8153141061437896
57,-31.84034785065984,-32.70235928716653,-33.36433896697335,-33.60324008027101,-38.8413025058043,-32.884297648501715,5.1982219197142845,3.703856977037413
58,-30.603345926892715,-31.788641375180205,-32.52192622857787,-33.01255856960091,-37.162645057398066,-31.96825095272862,5.140124571361774,3.5743470498254486
59,-29.357703746682475,-30.57532806222178,-31.142878596632194,-31.412872071016285,-37.60902228077038,-30.66233845804318,5.134059397779339,3.449176314446181
60,-27.855283385446832,-29.28341771574552,-29.77458447494397,-30.013156897064526,-34.00990634816855,-29.404124711875852,5.1280033829320635,3.2983286768378894
61,-26.37277565310881,-27.845675116188158,-28.396183726961308,-28.858055564682772,-32.39738937383002,-28.006513604147393,4.909070802393944,3.1281846455502755
62,-25.440811502301287,-26.345840140921357,-26.915770074712945,-27.06955687134878,-30.60041425182085,-26.49144757435404,4.909707221749269,3.0350518724050555
63,-24.802918352051453,-25.404896108080045,-25.916061477925485,-26.00235113966063,-28.93064293264946,-25.530046446865153,4.897759777345421,2.9700678129396874
64,-23.917910283933498,-24.743011068255733,-25.16581552041868,-25.35464428619938,-28.239151728420914,-24.865452773157813,4.884164634840359,2.880207491877386
65,-22.885457678066913,-23.873611562547882,-24.42897311101538,-24.553885568172202,-30.164715297573018,-23.978971763839706,4.878080547502945,2.776353822556986
66,-22.004170945968262,-22.882380242431346,-23.446839900183978,-23.760346390795377,-28.539096974165677,-23.062146642518947,4.884343838594994,2.6888514784563258
67,-21.332644280180094,-22.004230033388662,-22.419208168001845,-22.50872558167168,-25.515212470749965,-22.08033550624411,4.891111842798157,2.6223756122978252
68,-20.685467031214483,-21.2822525857956,-21.81623802280472,-22.083466833947984,-27.166538145790746,-21.388627334042674,4.754717233631051,2.5440184264845533
69,-19.794181309157587,-20.656757305678184,-21.114319865512893,-21.200706675686156,-24.268302730334984,-20.806917912468315,4.600783341583444,2.439496465074103
70,-19.056292021736773,-19.794360512912252,-20.32019395996041,-20.49499796475623,-23.57515026967591,-19.993767366010022,4.594718168001012,2.3651010189737787
71,-18.469937330216872,-19.021529813515535,-19.442914156065243,-19.582148000536144,-22.776091162218734,-19.155642676329073,4.591631573630349,2.306156890384722
72,-17.953410326281563,-18.448909750117384,-18.8536671224158,-18.89460117303653,-21.565989162412876,-18.55407236901619,4.5916596461204815,2.2545069972402048
73,-17.0337836365793,-17.901929164174042,-18.2314717036788,-18.25814407448474,-20.909966463361823,-18.011453334449826,4.5168817056351775,2.155066534221448
74,-16.642378623059365,-17.02236457494836,-17.51481717113907,-17.829286457105813,-21.95241177476262,-17.087713777419783,4.513795111264516,2.115617373432388
75,-16.34300036297168,-16.635376550230916,-17.07686955145219,-17.329314408012788,-20.111851834492114,-16.738392607685157,4.522946879217629,2.086594724218931
76,-15.82475731007871,-16.34593876851799,-16.844214802483556,-16.959230979931252,-20.505767073238978,-16.476501799841643,4.420594440228833,2.024535175030754
77,-14.881111925963687,-15.82900750766234,-16.40611129886829,-16.853559196096995,-20.531948671514883,-15.960415843693315,4.426874327189959,1.9307986253153646
78,-14.48892438557639,-14.874164015237742,-15.260182893853345,-15.396497395078075,-17.706261266383493,-14.96093931014131,4.426736493524963,1.8915660879101353
79,-13.702191864112951,-14.465519426793259,-14.95079843277344,-14.914539378510447,-19.741251194052246,-14.552244462867368,4.232876090593725,1.7935067954706676
80,-12.777827401976902,-13.687284589205449,-14.03067401757311,-14.124498820607364,-18.350874644622028,-13.739807187204008,4.242058873477111,1.7019886275454013
