generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-671.0371780648267,-1198.2155751069376,-1540.0292513075146,-1819.6595974961137,-2668.3627919090463,-1500.6537898797123,26.512886884377387,69.75500649492041
1,-636.315145224591,-669.5838466054742,-673.2519085352185,-675.4432468955965,-752.7492489322773,-671.0633811410976,24.29946074231416,66.06146059669052
2,-558.941469631987,-633.6818310015658,-636.9404553704825,-639.2337246863327,-699.5845232010112,-636.3356117308371,22.02807824248205,58.09695478744691
3,-521.9817661476028,-557.3882306162227,-560.239625942303,-562.08915791914,-600.0084915825606,-558.9797775115413,22.13255733011653,54.411432347771935
4,-477.14073230012445,-519.657916689929,-523.0067425770392,-526.2487684501793,-569.4602626108077,-522.0043683917847,22.320762391015467,49.94614946911399
5,-453.75158171230845,-475.835293905865,-481.6603678471501,-483.4579105062438,-582.6525877170477,-477.39498477294387,22.32389910587832,47.60754808181868
6,-404.87308949940217,-452.7526919537317,-457.3331103902274,-459.8700630857025,-511.4045186748478,-454.13333805564855,19.10361134679707,42.397670084619925
7,-383.81117050598533,-403.2972543659047,-406.6891230172365,-407.79570501996267,-455.87078919388927,-404.8753956436102,19.140959670951283,40.29521301769366
8,-357.13488500801634,-382.28898078185705,-385.32274086215057,-389.0249785192331,-447.0536121087855,-383.9087347737493,19.143955771642208,37.62788407796585
9,-335.7899884621987,-355.828775614746,-358.5405651642289,-360.1603864526182,-382.0902126195859,-357.1417168586396,17.000852756574268,35.2790841218773
10,-312.7953901619048,-334.2173800375247,-337.2593011255009,-338.3800647298587,-372.2233911512388,-335.7964077127697,17.0074257271786,32.98028158890834
11,-304.2109025303487,-311.93396775127223,-315.14533435178305,-315.7886937798127,-350.7281051018035,-312.82200586152214,17.001229334803096,32.12121318651518
12,-281.45601750021495,-302.87113517912593,-305.06456771992805,-305.8898707561243,-334.13394681955526,-304.20637559722275,17.004298220171773,29.846031572038672
13,-267.6141099989248,-280.32797675660566,-282.9692684907749,-283.9786261027288,-314.108139050017,-281.49671132477664,17.01298497678028,28.462709497570508
14,-250.94360076980905,-266.7283538768052,-269.29985814469103,-269.58108355162085,-317.1383748592433,-267.67144497089316,17.012982280827543,26.795658305063657
15,-241.4668870698509,-250.3885632548357,-252.52747359316535,-253.86300027509412,-273.9137538539867,-251.1137919943107,17.113645189428812,25.85805322592797
16,-232.72086345752012,-240.8625387834464,-243.4458630940084,-244.01980812870892,-272.6681697141102,-241.75667932603466,15.438994058126688,24.815985751564682
17,-226.06154308656713,-232.14873553416538,-233.96107544242034,-234.17172070249973,-265.05241514024493,-232.7395135620405,15.397505649088117,24.145904873565524
18,-212.88289729914214,-225.76101902893012,-227.49345941237866,-228.50865622823366,-254.26593215996837,-226.2148249719785,14.168840139625436,22.70517374387676
19,-206.71051193060322,-212.58858859685552,-215.28557727987857,-216.38174748427852,-251.8856912322587,-213.07681101859828,14.156548335062842,22.086706026566606
20,-196.3334881732607,-206.27722229658718,-207.7157938517853,-208.1363901942026,-229.25822691150557,-206.89070549455,12.331071532621285,20.8664559705882
21,-187.91470482936668,-195.50866566796918,-197.52776984313442,-197.71468697297567,-222.38567104421847,-196.38525652344566,11.615962615705826,19.95306674450725
22,-181.63578125122683,-187.60887315722536,-189.02175566866174,-189.4248489863852,-206.9486205570702,-188.00905305045728,11.956889426798158,19.3592670678025
23,-174.2176518215154,-181.1910231807198,-182.64990018518137,-183.481219721863,-197.76822863026044,-181.83602447613526,11.950834424862272,18.61684862463777
24,-167.1707997091032,-173.78127104028772,-175.68114992613323,-176.67034533455237,-197.42718786066573,-174.2629095613446,11.008780617834383,17.81795803269376
