generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-866.366873790386,-1237.4089388671323,-1545.1082774902225,-1809.0583957693616,-3452.7790976144793,-1504.2356309803158,28.574620305339188,89.49414940957251
1,-785.1851289148466,-858.2122289208301,-864.6396672402205,-869.3794600587992,-948.5738027135372,-866.0288658503962,28.92008195939079,81.41052108742375
2,-722.2847404454336,-781.0876732910149,-785.8750088451695,-787.6448705466742,-849.3464597039169,-785.1586951242546,25.42768684111518,74.77124272865487
3,-686.1935081282743,-717.9215270545252,-725.0974399207669,-728.2933123684363,-805.3227444104543,-722.3466118646722,24.466436814942185,71.06599449432164
4,-623.150054531297,-683.6792378014444,-690.0049379000689,-694.6814997525818,-768.6482781277972,-686.9471955832046,24.506511146971135,64.76565656782681
5,-590.8387595789774,-620.4989924372179,-624.4541013566406,-628.065911250831,-674.557460277567,-623.2712360160631,24.524335383494563,61.53630949624719
6,-569.4832994883434,-588.4356889499591,-593.4768888078738,-593.8769345454791,-666.3901303384081,-590.9002863246544,24.520914384457363,59.400421387280076
7,-544.5979867393592,-566.1781961752114,-572.1740267600296,-573.7270503885965,-657.7757652612333,-569.6156417964119,25.526075267104634,57.012406200646375
8,-518.7050119932501,-542.0006216276953,-546.7691719769658,-548.2289662854217,-596.3255921636645,-544.679262042895,25.519833702495607,54.422484569574564
9,-491.190381272902,-517.5033103418771,-520.1992045440462,-521.6239574920205,-563.068789397627,-518.9379719084989,24.378174215449732,51.55685554883517
10,-463.5036718266317,-488.2843262892256,-492.54486735594406,-496.9660704986635,-558.3174372689319,-491.2921657604811,22.712121710907915,48.621579353753965
11,-445.66160808901446,-462.3199801683201,-468.2164825031494,-471.6978406796979,-527.543404738742,-464.6346176651291,22.736130068590064,46.83977381576045
12,-431.19858757755134,-443.6459674491638,-449.84834133569717,-451.7863756939144,-503.08947704205076,-446.08638196566255,22.99814069884381,45.419672827639516
13,-411.5703135696607,-430.2902376813211,-433.8053142274901,-435.5389364009494,-466.956774913762,-431.5940353649106,22.994517671064823,43.456483124072555
14,-386.5122771759904,-410.26686887391696,-413.8804888375308,-417.30041858595814,-453.4989788081892,-411.8369159409924,20.679600320171335,40.719187749616175
15,-369.9045451892688,-385.61002054705904,-389.38360377279105,-391.6695604674464,-432.51898046060865,-386.66453184067154,19.51525930836872,38.941980449763754
16,-359.413736423204,-368.8467871990662,-371.31872121195005,-372.95991579525554,-401.54479846297284,-370.30838607262183,19.583705065967962,37.8997441489172
17,-342.1933608388488,-358.2299254051998,-361.625069983203,-363.8727664099894,-420.28013710274394,-359.61296542306405,19.897650607211038,36.20910114460598
18,-307.1630968865149,-340.582493446623,-344.6623371208406,-345.2630466223911,-389.66356294656356,-342.1881589612857,17.78952869748908,32.4952625584004
