generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-822.2616351690579,-1264.8908658014602,-1577.1946048752159,-1826.5181520045471,-3614.3171929317555,-1529.404388123014,31.513780412730473,85.37754155817883
1,-748.9177736668343,-814.3964350381182,-822.4077229506456,-827.1831858351625,-912.9403340733497,-822.2748841769658,28.10909876980797,77.70268724366422
2,-684.1414333732481,-747.6621502862105,-752.4915145047855,-754.0459019616651,-846.6947875120527,-749.7394741445287,28.10288800033421,71.22443213735824
3,-637.2949919229384,-680.8881940587762,-683.8510297394437,-688.5201012124452,-738.000023592145,-684.1374246201165,28.143548079540583,66.54385400024789
4,-593.4524524812732,-634.4895838030217,-640.0091665213831,-641.9472200732154,-708.1644380934558,-637.223248021453,28.183380503641537,62.16358329849147
5,-541.1801688166532,-590.3581109031,-595.7572967661595,-600.2647310814789,-645.8075083052598,-593.5885106957419,28.198576825027498,56.937874564168084
6,-507.53649937204915,-538.3236669745608,-542.3142079325854,-544.2930703456371,-596.8021981319195,-541.1687606349349,26.058745881231925,53.35952452532811
7,-468.5062153390892,-505.97939715538297,-510.57028225509976,-515.005754335319,-584.3765553606768,-507.7496650557956,22.823351731068986,49.13295670701582
8,-426.4257622942887,-467.0300441214519,-469.8741590987615,-472.4158361461867,-516.2329637133535,-468.5329371529983,22.870957168360377,44.929671946264904
9,-397.3062440114724,-423.7713332463453,-428.0527778454887,-430.50105561953893,-478.98159250472264,-426.4654038755763,22.818220877281483,42.01244648887539
10,-386.2756517679819,-395.3883978317894,-399.5871545404101,-401.2607851698316,-441.9417920450753,-397.28926845600733,22.830526196350974,40.91061779643329
11,-368.266197734134,-384.5546941841784,-388.0585570820066,-389.0538662380628,-435.14980057042,-386.18458587241173,22.846099716237134,39.11122974503711
12,-341.6531125674527,-367.8240595012626,-370.7524411818548,-372.69941546275874,-398.91607806688586,-368.54817441551864,22.909203860024185,36.45623164274769
13,-319.1288586161959,-340.36303880570995,-343.24014958727236,-344.6159620915301,-382.9105081571126,-341.6557552908757,22.91551945160011,34.2044378067796
14,-309.1446300991992,-318.52376105098625,-321.8153354143507,-321.7309163277383,-367.22815368424244,-319.37357050562656,22.931179647472376,33.20758097466716
