generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-719.6238951192393,-1199.554873940548,-1512.068768574715,-1817.2897111398684,-3001.115425050609,-1463.4814459245913,27.932804796301202,74.75566999155404
1,-672.5018007069939,-718.1279579511223,-723.741927650697,-727.2125338863393,-822.5277498687558,-719.9445348599702,27.942947285809872,70.04447479928038
2,-632.4309907556596,-669.555406863967,-673.6443107839506,-677.391148034015,-719.6878122673883,-672.4982613793388,28.17603040580719,66.06070211614669
3,-598.1144891599232,-630.8222047436169,-636.2234832755414,-639.7976149942738,-714.2250741601098,-632.4420247850534,26.4002193035927,62.4514708463516
4,-543.6245481159004,-593.5823991321181,-599.1991845487124,-601.3001086951735,-675.9774727298428,-598.0520062887674,23.121261888514443,56.67458100044149
5,-488.92225056691524,-539.886673743629,-544.1396681960385,-547.190715431615,-609.751360747228,-543.6443376897904,23.34885140008322,51.22711019669985
6,-459.10330970552684,-486.1847805410762,-491.3379366620742,-495.01321872155074,-532.6023316368643,-488.9101118267599,23.352184538911157,48.2455494244438
7,-423.3635778775507,-457.6131507313339,-461.58390711331737,-464.5096845997542,-501.56872524361853,-459.44755716246164,23.36158491711087,44.67251627946616
8,-397.0165824495264,-421.7213328940547,-425.49348312406255,-427.84989149295325,-498.7491191832797,-423.39250943989606,21.03934975601484,41.80559322055412
9,-367.63426920566906,-395.5976920702832,-398.2677760331251,-399.8813229460343,-436.37616805965195,-397.06818739308,20.740431106065415,38.837470031173446
10,-332.7095245825814,-366.4844098400758,-370.30688171822817,-372.20074659706546,-417.9493050975679,-367.73125413072864,20.715092265872425,35.34246168484539
11,-315.45915397293504,-331.8674149195252,-334.2020771572839,-336.13399623500067,-361.4776845400003,-332.79077377030217,20.69962440685367,33.61587783797887
12,-298.9614910821665,-314.68941051326885,-316.9113963235296,-317.87107307917995,-353.25316284972945,-315.4747165879056,20.706723931998578,31.966821501416504
13,-286.4372612868127,-297.9432056835361,-301.4160590364851,-304.007967906954,-341.9107351510261,-299.2359296215228,20.70268947922479,30.713995076603748
14,-273.17699376141985,-285.8566512517901,-288.51262457309696,-291.44474512249724,-325.395581370254,-286.71050521290977,20.758980769763745,29.39359745311836
15,-258.5048478119408,-271.8913678915426,-275.9566820862775,-276.52817985897497,-329.6602599721104,-273.2855616374796,20.798995967020115,27.930384377896093
16,-243.1740181139053,-257.2630801830386,-260.29476860729574,-263.7676457993183,-289.68811008741363,-258.5481787723709,20.80805825323401,26.39820763671393
17,-232.88913943050193,-242.37301394152766,-245.61751710012828,-247.58929258781228,-292.6028811623195,-243.559963953634,19.435180929468697,25.23243203599706
18,-223.74559568855526,-232.21937303300103,-234.34843568759257,-235.27627132504594,-261.78248088924124,-232.88925862500082,19.53833005356562,24.32839257421209
19,-211.4810084859451,-223.35405726997206,-225.1036156059395,-225.58852809885354,-249.39315363096222,-223.8105497781662,19.527098082168138,23.100810656811326
20,-199.50183758731998,-211.01283124515777,-213.8419564992349,-215.23616549940465,-246.69297647531565,-211.92290128646218,19.521611561053405,21.90234491483734
21,-188.3361243643913,-199.04524850251966,-201.0452623481214,-201.22780489541876,-221.66054082009248,-199.54021376864088,19.521228157652395,20.78573525220437
22,-178.73172240490896,-187.4326193084143,-189.76385473470395,-190.7698529794588,-211.300324006236,-188.39233199866408,19.521209756376216,19.825293216128518
23,-165.21162700437426,-177.7200235434624,-179.95118863537178,-180.639108424291,-203.07299494116518,-178.84176128179467,19.695359433000117,18.49069864373744
24,-158.5723551679862,-164.47672257168537,-166.10784506001454,-167.03788703586852,-201.34095217871064,-165.21310762351055,19.40405679162647,17.797641195961265
25,-150.8963807888013,-158.02526176861016,-159.62835200154927,-160.3405575437803,-192.43683609210532,-158.58953230609376,18.38836035384908,16.92847411426504
26,-136.0733909227444,-150.26402991510344,-151.99519485675535,-152.8852400286459,-173.26178789418725,-150.98292926557446,16.060167716222008,15.213355863896641
27,-130.73469628543154,-135.3648661360282,-136.9642363676632,-137.0420558064081,-156.6986069695742,-136.08923370551057,16.051261309308178,14.678595759473973
28,-122.76891085652831,-130.35100515132874,-132.672424585395,-132.03825052307934,-160.65510304881917,-130.7684139286708,14.705264786443806,13.74741756429721
29,-118.28507485792487,-122.49427327355903,-124.16803539327009,-124.22557904726706,-158.6949619528693,-122.79437912168072,14.71422165781318,13.299929651573805
30,-113.8360991365998,-118.03236025470756,-119.55548654245038,-120.56608497684887,-136.54297990572823,-118.55695956472168,14.720799188446748,12.855689832504654
31,-108.08174641603861,-113.68737906551553,-115.14328923875087,-116.1442983280283,-130.39601393790747,-114.05319962986454,14.174466784982432,12.225621320102103
32,-102.6777237349698,-107.96934131155449,-109.51015916545806,-109.91444274212165,-133.0250393334507,-108.31040880286598,14.152867723332935,11.683059145830274
33,-98.34705298973628,-102.52447832093594,-103.48595002582645,-103.99945677290006,-115.25905160932679,-102.74892765212148,14.156767885982413,11.25038208757187
34,-93.16398024401676,-98.19575235094744,-99.43869814434038,-100.35960381397206,-113.24149831373155,-98.50336530093816,13.089245655839736,10.625322589985648
35,-87.83027169242898,-92.62555404407584,-93.71917364607097,-93.99105986010125,-104.31690106782109,-93.17568952795628,13.246270191196668,10.107654188362565
36,-85.30809363001411,-87.65537300828346,-88.73612917818093,-89.20535078262918,-102.96321435806321,-87.93545552663616,12.917550345287433,9.822564397530154
37,-78.68801245097089,-85.06766220980462,-85.86824780067286,-86.5558006100041,-94.09016823792042,-85.35734647510358,11.394624981876127,9.0082637432847
38,-74.86993751062498,-78.58517951754938,-79.70390669376857,-80.58937588313788,-88.08556704817633,-78.854949565286,11.394624981876133,8.626456249250111
39,-69.14336233375576,-74.7818301543391,-76.0733551167879,-76.54266110133261,-96.41950764559428,-75.05191293104744,10.588604481823175,7.9731966815578925
