generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-784.6530385552522,-1269.4264002982336,-1598.8949442017743,-1810.489640743056,-3796.296203024176,-1543.3230035565514,25.405965864044475,81.00590044192967
1,-715.7711531892835,-781.3281643552234,-783.451533671448,-787.3916005484209,-836.6644493284523,-784.6310793582383,25.43653841669259,74.1207691605976
2,-666.7961438062117,-712.6467553793343,-717.2901256807514,-719.9174268809744,-772.9517205521022,-715.8965203903288,25.664716589455917,69.24608603956676
3,-597.1902293007997,-663.4905662911887,-667.3627484534894,-670.6471113165575,-754.814890067773,-666.7875146665075,22.238338017804015,61.942856731860374
4,-551.0110298165862,-595.3049764858871,-599.5655233074299,-601.3281815672681,-693.8177319645539,-597.2757581554959,20.24200036351771,57.12530301801039
5,-513.878215574582,-548.0556671355782,-552.5153677775022,-554.579684663477,-600.7988498637465,-551.021794914818,20.40319276935376,53.42814083439357
6,-484.9913491882614,-511.88828135722565,-515.4908153464447,-516.4268793672421,-577.7219225234775,-513.9088306132927,20.436960686659617,50.5428309874921
7,-464.33172445566356,-483.6890109744209,-488.83690055320204,-490.7662927337975,-548.6715002944215,-485.14524990917175,19.717509668370788,48.404923412403434
8,-438.1999682576673,-461.26219387640833,-465.6205059058851,-467.57142581131166,-494.94049247625605,-464.164570794739,19.726733331553604,45.79267015892209
9,-409.8262111857377,-436.7045924103882,-440.3312733918835,-442.7959666057617,-486.44151287863565,-438.32297467663716,19.83644505617957,42.96626562419173
10,-380.5623764984402,-408.11575858122814,-411.1796302511056,-412.3685520226417,-454.20234469824885,-409.81022502277153,19.977689627290427,40.05400661257306
11,-343.55984226459117,-377.9350707913869,-380.92233665134825,-382.16264078162004,-442.86917163430877,-380.5370054680792,17.801589273080992,36.136143153767215
12,-318.99213746708716,-342.19832446443274,-344.33921734550614,-345.22345069794477,-389.3963014085114,-343.55670724135877,17.8613395803698,33.685347704745695
13,-306.7586571693872,-317.40501910584084,-320.4143581468959,-322.06067061163867,-347.5541310773223,-319.0626486238334,17.874595177792543,32.46332523471798
