generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-647.4078130995755,-1194.3684752619831,-1523.055948387664,-1745.827766119723,-2870.09747934843,-1475.6265562981505,24.907531425819663,67.23153445253952
1,-601.5246883192228,-645.3816242939657,-649.019952546336,-652.4432404410281,-689.4196444073464,-647.6195862846504,25.170292982660353,62.669498130188316
2,-572.5516694115025,-598.7858784150764,-605.9566909445595,-607.1128874479156,-693.1252022881625,-601.8954813237575,25.164487717586194,59.77161571290887
3,-534.1609963851826,-569.3187693613075,-573.5214782323185,-575.443748932454,-686.7108741875045,-572.5500707951289,25.176871681665798,55.93378680668484
4,-494.18232374328613,-531.9770889299886,-534.7253682453096,-536.4876776194538,-571.5124045447341,-534.1940104199148,25.192210462001842,51.9374534205288
5,-441.64908864024125,-492.18972108532705,-495.62789565756026,-499.50988802057407,-585.1145990522143,-494.6705627299626,23.596674657115514,46.52457632973567
6,-407.32832287054356,-438.5859624548439,-441.5871426467122,-445.7914637507205,-461.11153404464574,-441.6367581960017,24.472007969561073,43.18003308401046
7,-371.345862191273,-404.9503563259409,-408.7706243166263,-411.6325243688781,-457.56499703370275,-407.3534831278184,24.57967919716621,39.59255413884392
8,-344.34131087466506,-369.84219330129235,-372.4250540177969,-373.56368755899325,-405.07170550286787,-371.39552590217204,24.5953728912566,36.89366837659217
9,-314.62415722503107,-342.5445216471706,-345.3676110800152,-346.89560159742933,-385.91334223078974,-344.3889430969198,22.213976463899083,33.68381336889301
10,-296.4100485018458,-313.15451507690824,-315.1794340041417,-317.37287600511604,-343.5854530770928,-314.61871029747965,22.700290644347206,31.9110339146193
11,-279.2035550066356,-295.7798701279562,-298.2203601334561,-299.92876511907804,-337.17580674094893,-296.8509431762152,22.70041461731347,30.19039696239491
12,-262.3595369449879,-278.3909185714624,-280.4811945853046,-281.9872657601604,-323.8561928709941,-279.47325159267774,22.734720370536966,28.509425731552486
13,-238.46595024940456,-261.5910513330066,-263.7859219427963,-265.8230585852971,-295.3755888332951,-262.5730482421543,20.442554750019326,25.89085049994239
14,-228.40502568766925,-237.9809567703874,-240.74171401622186,-242.1995690728017,-270.8855650640372,-238.8156216011293,20.49417585068636,24.88992015383556
15,-211.8314769961573,-227.9621281310328,-230.41408404373738,-231.20544345535956,-260.1304616570826,-228.86334030326992,17.786110627848952,22.961758762400628
16,-201.26544756057584,-210.48171126992318,-213.33445325119925,-213.9286102518593,-235.59651063623943,-211.8084845488063,15.781216054782282,21.70466636153581
17,-189.1091750174164,-200.66546103062953,-202.64735632255048,-202.99782939307914,-228.13786805238354,-201.34537787014114,15.740952560400395,20.48501275778168
18,-180.35426959029797,-187.74617137128794,-190.0129876703135,-191.29014099811798,-209.82450519154648,-189.0952613743856,15.027461234046825,19.53817308243448
19,-172.88527465768175,-179.90853237154806,-181.35353682349228,-182.53594077935074,-198.97582499799222,-180.54429986171388,14.09980338912446,18.69850780468062
20,-165.77326734643285,-172.53979182338114,-174.1103141134887,-174.93636276113148,-196.2430190633695,-172.91990140110462,13.026011308991999,17.879927865542484
21,-159.48475750559135,-165.40968287106463,-166.79729578461902,-167.49709293721105,-184.49089029075472,-165.94166248264125,12.240535734265606,17.172529323985696
22,-152.70686171053262,-159.32977662450259,-161.14822686805732,-161.85057133964747,-207.93748754856716,-159.5381014880584,12.252720173495439,16.495958188402806
23,-144.01090327845017,-152.6050473594561,-154.48046219655046,-155.17174528964648,-175.99333154674747,-153.05627594283322,12.234476573487006,15.624537985193717
24,-138.58454420914313,-143.53643214168926,-145.29561660593566,-145.97680341336326,-165.83097103784152,-144.06298236355113,12.247432353728092,15.083197656287124
25,-131.69507213053473,-138.15539042131633,-139.1814707664408,-139.55659190114812,-162.53341830156378,-138.60650704701237,11.873753991955523,14.356882612249024
26,-128.10356940101317,-130.86496111879507,-132.5266251241913,-132.9878956084895,-146.35798155393127,-131.70280833742518,11.873230138357593,13.997679953937078
27,-123.2450769606614,-128.01253676641437,-129.25976040982547,-129.88705350179953,-147.56657115405227,-128.41387944178683,11.557060608299727,13.480213756896111
28,-117.32214004538032,-122.8366939803188,-124.01044184824042,-124.45597259100634,-136.58105568256767,-123.42542187130414,11.581156493374761,12.890329653875508
29,-112.57368724162271,-116.85201989502063,-118.3705050941609,-118.90517235351828,-129.208252066817,-117.39586371976954,11.555939101699758,12.412962634332247
30,-107.08024023695884,-112.13139940725777,-113.45602027161584,-113.57880422141652,-129.6533929623158,-112.59880172548324,10.82909241083484,11.790933264779369
31,-102.06282920356173,-106.95258513777293,-108.1998163600024,-108.84226807390344,-123.37314405451875,-107.23978584219921,10.800710662738304,11.286353986630004
32,-94.52568679678323,-101.84794263039899,-102.92518269807066,-103.4373757757389,-123.55583947609328,-102.11823578892836,10.090539552447055,10.461622634923028
33,-89.3765995502579,-94.31900119614109,-95.469221064948,-95.7019156315923,-107.77647398646573,-94.57703701638629,10.109699242825238,9.948629879308314
34,-84.83258873935466,-89.26602025565104,-90.38262895290998,-90.90692847440867,-102.45792212119889,-89.61999453246895,9.370839904123704,9.420342864347836
35,-81.37548383578255,-84.73661176476591,-85.92979521508116,-85.94602453881716,-100.29469903697071,-84.89641839028631,8.804930397707226,9.018041423348977
36,-77.0970065750593,-81.08745021880304,-82.074148117526,-82.45817345044057,-89.65379220765476,-81.40839758674606,8.318888658097624,8.541589523315691
37,-74.77470069599462,-76.97543321426559,-78.02524899151848,-78.33720312990344,-89.99290379525986,-77.1764308353822,8.345316466497634,8.312001716249226
38,-71.74274904816028,-74.53186860425186,-75.77949351376292,-76.60325134745669,-84.69030277133018,-75.00897488928084,8.21756870768342,7.996031775584369
39,-67.90903198801229,-71.52920488252516,-72.35858654572651,-72.87340755667604,-79.96094417699425,-71.79193456173407,7.3757539393494485,7.528478592736174
40,-64.95640589490941,-67.83984756154253,-69.11708269428308,-69.49962155408294,-82.23324335050732,-68.07967852937368,7.394027151842515,7.235043304675193
41,-63.06482547166812,-64.95357355517555,-65.71703824687194,-66.0498617658072,-77.43085709696267,-65.21928855948639,7.420093925927934,7.0484919397596055
42,-60.783668669475304,-62.90762843059479,-63.71463522469257,-63.938929403495415,-71.69267458212457,-63.091909888888225,6.747956404012769,6.753162507348808
43,-57.309059158340204,-60.73788608167762,-61.545588737664076,-61.73866181461182,-74.68937797285753,-60.97904526239786,6.747972630426435,6.405703178876664
