generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-774.3033196742542,-1234.5771488053115,-1537.1656698192146,-1789.4413318840027,-3243.4398088458265,-1372.2160827392531,31.795661587885125,80.60989812621393
1,-723.4149959516944,-768.6668538701338,-774.0139596748837,-779.7048927777806,-859.1057870668812,-774.2513954759227,28.22463157602927,75.16396275277238
2,-651.7004116856683,-718.7141685334683,-726.9051183317864,-730.6898708601823,-809.8062937282415,-723.516160678525,24.463624773670276,67.61640364593386
3,-616.671622840765,-648.8663104191296,-653.6780772222461,-657.6348442677248,-733.2567843429899,-652.0989649535145,24.54189361375457,64.12135164545197
4,-577.7211681347335,-613.9841205684983,-618.1801749973429,-622.801052825076,-677.1445714266528,-617.2239606985733,24.547826054296415,60.22689941890299
5,-539.9450501583094,-575.3562099523012,-578.7880300660407,-580.8340027507815,-675.9973997366511,-577.7443489275141,22.594689854128923,56.253974001243826
6,-507.90048162048106,-537.9132521010984,-541.2969054223643,-542.3791931065624,-634.1576409904809,-539.9463969955259,22.641578674220767,53.05420602947019
7,-478.681298285009,-505.98768229469914,-509.75771525757676,-511.8972435261549,-565.4885929007005,-508.0445949303605,22.632012769560124,50.13133110545691
8,-459.57971676724486,-476.7123068973816,-480.91090481228,-482.514198228635,-535.8123492834317,-478.87902804795715,20.553618584446053,48.01333353516909
9,-439.74600120755804,-457.79852375202455,-461.83062864265423,-464.9973487795413,-488.36587989681584,-459.97409364933117,20.5610461032269,46.030704731078494
10,-417.75674897066654,-438.8947414270611,-443.4631616622209,-444.1729265845824,-505.43480407328474,-440.11438880785045,20.589019447341073,43.83457684180076
11,-389.04847399985795,-415.86313572738544,-421.0797952638126,-421.7976585021303,-514.2629004611065,-418.1753339595453,20.62129465396401,40.96697686538219
12,-375.06720052182857,-387.9456311072777,-390.6624239598995,-391.69925692070007,-449.27716721180315,-389.39894743599524,18.89820873271849,39.39654092545471
13,-352.20768331995225,-372.874315717596,-376.7006705693318,-378.0981017085723,-435.24457175681374,-375.2458914190855,18.99357761155133,37.120126093150354
14,-329.91693582597026,-351.28633940294037,-354.88883268566747,-356.3973126279833,-402.8849204401581,-352.6247385479959,19.002760072031194,34.89196958980015
15,-317.1524728183938,-328.95336262611346,-332.47117058940756,-333.39419894930575,-360.71929080059164,-330.00899745053897,19.08633452719203,33.62388073455858
16,-299.5228071069489,-316.32912873211365,-319.126749039432,-319.796217543701,-347.72398802285886,-317.26814600752004,19.09437489673873,31.861718200368763
17,-284.78366785065185,-298.676930988358,-301.3243888900463,-302.63553484686673,-335.5338148352335,-299.79666168918095,19.14606650816005,30.392973435881192
18,-274.14879180991346,-284.19543569285787,-287.39948709645233,-288.44208304853476,-323.53326548691825,-285.01531079856477,18.289872498900642,29.24386643088141
19,-258.5973916964767,-273.23578032159605,-276.1137693681871,-277.8896926093982,-309.529869710721,-274.33653473972345,18.366756883144227,27.696414857962086
