generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-610.4074852944649,-1177.1230614912972,-1514.0225792814458,-1796.9936625091811,-3898.0942841653837,-1480.9510927527606,29.848628358758607,64.02561136532235
1,-567.2729853885736,-608.6678003473647,-611.4374880479661,-613.5467461962847,-659.3825729169445,-610.4129499961226,29.825127266661692,59.70981126552352
2,-537.6354638951256,-564.1184531233179,-567.7360000665407,-571.569485832729,-619.6726503802755,-567.3420843761849,29.79468885660504,56.74301527517306
3,-495.67724282500575,-536.7745784475612,-539.8132913378548,-542.1337773565232,-594.8130017741167,-537.9650231878712,29.881916989228717,52.555915981423446
4,-438.4977139247365,-493.2409413572129,-497.5919679260746,-499.3037699016429,-579.0471495585202,-495.6744004407583,27.334195613638702,46.58319095383752
5,-414.0982985421358,-435.96007313626995,-439.52892054984136,-441.75379228369343,-478.7687299692882,-438.6034353751372,27.302968079919015,44.14012666220548
6,-378.90785362250574,-412.8968982865476,-416.5274129244786,-418.94956859290977,-466.6296108129397,-414.1529631244171,25.908728303660382,40.481658192616614
7,-350.12461056326566,-377.05093437982254,-379.6318008828049,-381.47080874283745,-415.1003142301396,-379.01506410962304,23.952979516661415,37.40775900799271
8,-333.8250192514976,-348.78206401924405,-351.19617813789847,-352.2672371488011,-378.430893618413,-350.11586338431994,22.64629013551241,35.647130938701004
9,-317.3700526713127,-333.1722239402546,-336.02137974913455,-337.1521786714011,-382.0949871135403,-334.08987311305526,21.293507212307055,33.866355988361974
10,-300.2250421151465,-316.1103276962057,-318.9094219417471,-320.6329644345231,-360.04514511357945,-317.38019095008184,21.30735087670677,32.15323929918533
11,-274.5066769041246,-299.45660088504127,-300.85927226383336,-302.0689779216538,-340.56636909228536,-300.2175474772465,19.755010393528526,29.42616872976532
12,-258.2648985950181,-274.029615029475,-276.8125401458896,-278.71572644862704,-312.2090058245568,-274.885901668859,19.748963665432125,27.801386226045025
13,-244.09554705876437,-257.90282629699965,-260.30512561250936,-260.8379778528905,-303.2845400108133,-258.4321879902031,17.82438670383081,26.191993376259518
14,-227.40016300397687,-243.25327240125597,-245.20790192085215,-245.1319909721337,-275.4051622902286,-244.09642143586711,17.830456489434802,24.523061949341166
15,-216.52757036344104,-226.86385578018445,-228.660297081264,-230.21330137563928,-246.77441328092476,-227.60742401403516,17.833610043359457,23.43611804068005
16,-208.10078506421536,-215.71063466783616,-217.44755933723332,-218.56687487701848,-237.02959361098667,-216.52221505498568,17.93483031224024,22.60356153764556
17,-201.47301719438116,-207.38076623399826,-210.03522233571624,-210.62887856063293,-253.14564375393613,-208.238848416978,17.959556444993545,21.94325736393747
18,-195.3654883733928,-201.2772517468993,-202.88741928233677,-203.09063285946823,-228.8980582886494,-201.69189964380627,16.255439665550746,21.162092803894353
19,-186.20321818810223,-194.55318975334805,-196.1512074911024,-197.09334962596662,-211.45361083941407,-195.37441065643515,14.773814173025132,20.097703236112736
20,-179.46642829451557,-185.53769730903002,-187.5654491947842,-187.60981661374015,-207.46627429955674,-186.38967007666588,14.789294949096806,19.425572324361237
21,-172.56961330756062,-178.96611533813956,-179.93955659305158,-180.57474981182912,-187.79243057111415,-179.54417675904574,13.947809062670961,18.651742237023157
22,-163.82263032480355,-172.24166247638584,-174.0695119778249,-174.43244298723073,-192.95281720659227,-172.6457754872995,14.039128751799906,17.786175907660343
23,-155.41853184100412,-163.22114127044412,-164.33511368180427,-165.1936184917108,-174.64165922411394,-163.85270589098997,14.024598692729247,16.94431305337334
24,-148.48718986553524,-154.84694645536393,-157.0226856988659,-158.02018661831718,-183.26748019741768,-155.4405267186542,14.027821410788697,16.251501127632395
25,-142.55439741647388,-148.1821483143386,-149.69297906619948,-149.88500571153227,-169.9844022420269,-148.64996454086065,14.042908049002174,15.659730546547603
26,-138.66181607152006,-142.3495399233628,-144.0057874806269,-143.72245692206428,-161.44911470107616,-142.70573167135262,14.05486539354389,15.271668146506395
27,-131.37444248055348,-138.51329250951414,-139.79359936434875,-140.47869899579393,-153.6263880441868,-138.8387541205426,14.055140819902048,14.542958330045552
28,-126.21582656675157,-131.01665284850608,-132.3896946883016,-132.93102445331144,-154.94721493109577,-131.4087377590218,13.559645882868145,13.97754724496197
29,-120.97686550636264,-125.79595675968133,-127.27844240995044,-127.63884560972667,-141.66929662449326,-126.24963146397238,13.74144128655128,13.471830679291392
30,-116.26411378988513,-120.62721839817699,-122.10222454669373,-122.39615388859235,-147.6846685577097,-121.16235653817213,13.759983839517638,13.002409762940278
31,-111.75865714006858,-115.90648084251664,-117.47986720804464,-117.99607366351643,-140.00153200316728,-116.48284486781878,12.652765778557413,12.4411422918626
32,-106.14671531301306,-111.61039765994934,-112.65195946988766,-113.31404502053852,-123.7396706310579,-111.89509411415801,11.789913236126296,11.793662854913936
33,-101.18694319504216,-105.7071272312266,-106.8056569081772,-106.85263217898252,-118.06611570047575,-106.19433681625091,10.89703718986705,11.208398038490921
34,-96.31753651255043,-100.98787074006621,-102.15728935123464,-102.78467790903854,-115.04155772563858,-101.65563845396477,10.909283535828232,10.722682004837868
35,-91.59349718384023,-96.01936074626069,-97.21435003376848,-97.30697842006072,-108.80203556315529,-96.35453158712535,10.910815705884612,10.250431288972484
36,-87.99004456687113,-91.2903857974062,-92.01453747770442,-92.21542115037506,-100.29076649409953,-91.62110700043479,10.926304593319523,9.891634916019067
37,-84.36578555850774,-87.82861452609416,-88.99952230117903,-89.94429522983992,-100.04391827087619,-88.1476183701158,10.923256839745092,9.528904239825284
38,-81.89546708426765,-84.27677568514552,-85.3701941070058,-86.10216180484923,-95.11944554884127,-84.52126635752992,10.780634624451844,9.26761017087195
39,-78.73365029975135,-81.74692856067503,-82.60366793614935,-82.74179040027252,-92.32225375538692,-81.94078185952947,10.419820568937341,8.915347086868868
40,-75.90896442378619,-78.6199100597652,-79.73390295826263,-80.25353185953634,-88.77798682582755,-78.85286241529641,9.5763938346374,8.54853582584236
