generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-138.04899119203063,-245.24827654642164,-332.6768148795033,-385.6015647009361,-729.6418918943641,-307.7765850622692,14.025294355264132,15.207428554729475
1,-120.44259300670313,-136.88073530227928,-139.0832080293253,-138.96035984112564,-197.71872046029867,-138.03961484668343,14.129989460797013,13.457258246750015
2,-99.90319475229805,-119.28427676164915,-121.34066689794227,-122.30825983210593,-153.89015646538948,-120.43426333516385,14.257401294194043,11.41605960464921
3,-90.53674347740822,-99.70032148896578,-101.72128721164111,-102.66147662058357,-118.48620735037963,-100.01407736670234,12.387890542636807,10.292463402004504
4,-80.58261117969042,-89.60501249444414,-91.10132195567331,-92.37970493512938,-105.280595512185,-90.55182527803535,10.341610394395714,9.092422157408613
5,-70.73717063616863,-79.9022008291344,-80.65159064859228,-81.51463834102839,-87.65105256106747,-80.57938682170482,8.705805767497687,7.9442976403666306
6,-63.97306477035485,-70.40189625527901,-71.40528451684447,-72.2185687523706,-79.59401100264762,-70.86131914894912,8.12302284378114,7.209608761413599
7,-58.8954414939908,-63.71896969488688,-64.2057110139136,-64.89838731414899,-69.01274403982453,-64.00017521967693,6.952205180541935,6.584764667453274
8,-50.899617801240105,-58.22386925269463,-59.14466062076305,-59.60627532275194,-68.50930027471665,-58.89544149399097,6.968915884643385,5.786853368588349
9,-47.008029924719715,-50.54206040004868,-51.236714700431584,-51.55928605609692,-60.55506108042259,-50.911602309245254,6.969004488310254,5.397703441302997
10,-43.240781516296636,-46.82247139273962,-47.435216122610235,-47.91320699328506,-58.6966986070241,-47.02616547963855,6.969004488310263,5.02097860046069
11,-39.36772312690517,-42.97626084706649,-43.50997959634754,-44.172252342803226,-48.73514531450724,-43.28283958024994,7.1000303941238405,4.646775352102901
12,-36.309495578400885,-39.250357938832856,-39.91846461045042,-40.669831388185266,-45.33628244390883,-39.605399347176316,6.8809664716957535,4.3190462050096645
13,-33.97504251185501,-36.187805239331695,-37.107242393109416,-37.46466580358049,-42.6300290385623,-36.48035938437572,6.884008522912438,4.085905103476745
14,-31.35353458854251,-33.87916519095009,-34.64224158121351,-35.084904238647596,-41.782457845141664,-34.15067009721565,6.155559675372573,3.750909426391508
15,-29.22928588153182,-31.24325329400406,-31.91444678643721,-32.25442574631162,-37.6931377322953,-31.587925735818544,6.155559675372598,3.5384845556904416
16,-26.807889549328266,-29.015980772214945,-29.773054406597037,-30.224469172998937,-38.218169339596884,-29.272270073973118,6.182875636592059,3.2990765185920323
17,-25.144926061727244,-26.610952324854583,-27.134915730177124,-27.437520362785648,-30.465218533538224,-26.826805624769722,5.8761947714778815,3.1021120833205122
18,-23.920246689768973,-25.07693023080153,-25.555067586486675,-25.832738630983137,-32.47918677285515,-25.27196831588342,5.895987915473027,2.9816234605242
19,-21.92458943752683,-23.790828834049425,-24.407582035527277,-24.89179680591402,-28.879879083871376,-24.027414526020237,5.8991185703565785,2.7823708007883408
20,-20.111760677126657,-21.798701070073243,-22.272603624018355,-22.49570899470275,-25.64441037405842,-21.927720092410325,5.787455706235851,2.589921638336251
21,-19.008073618294016,-20.087981368382756,-20.536412852934184,-20.811599050250123,-25.54686713410871,-20.182681457943705,5.661781261113823,2.466985487940784
22,-17.862563785315146,-18.971992143358527,-19.531078887362654,-19.936325588573222,-22.415642435979688,-19.212701547121235,5.667953967214102,2.3530517752529247
23,-16.3404266825256,-17.840743889684177,-18.3453077278211,-18.6417198080686,-22.13334653877764,-18.07453752899509,5.672018831240815,2.2012445513766417
24,-15.458102889896026,-16.330439645549415,-16.77012883524707,-17.168194001872337,-19.23372561152714,-16.560913553997047,5.67514948612438,2.1133252376020404
25,-14.339433223515407,-15.362681095918582,-15.878909314666858,-16.052373538491988,-20.34167193913695,-15.541515796725019,5.318981536258852,1.9658414759774259
26,-13.589641592692123,-14.339344619848525,-14.849588340314074,-15.055370062755927,-20.134069086442295,-14.471312050430875,5.3881753678673565,1.8977816960559482
27,-12.787888948871732,-13.544205956580125,-14.122046329539334,-14.30057847421558,-24.39499015375353,-13.65484263705174,4.939217308608767,1.77271062574805
28,-12.208553105795213,-12.784758293988144,-13.249110326288292,-13.470253492959264,-16.962058111204943,-12.908456809011797,4.952928180185387,1.71614812859806
29,-11.23314856518095,-12.16656748635112,-12.571935267183823,-12.764567758132184,-17.148533877847328,-12.273702212089551,4.946755474085119,1.617990403926607
30,-10.195849225593435,-11.213511738774772,-11.709739959363933,-11.903545117862556,-21.753700203180056,-11.27359909755652,4.426392006574061,1.4622241232167494
31,-9.38228199487994,-10.192718570709912,-10.530798917435181,-10.732439400174119,-13.634043733209726,-10.271863038773336,4.392717633237013,1.377499962811695
32,-8.428123679900864,-9.33264067442081,-9.711209299557913,-9.66488643067268,-14.345036421150729,-9.434050777045632,3.7697934141803784,1.2197917094081243
33,-7.6314936641330835,-8.378526886887308,-8.72578797161728,-8.885762532075125,-10.887308962806497,-8.495617739639432,3.78101177326184,1.1412505437394924
34,-7.030502715045361,-7.556528518881826,-7.821487656678327,-7.976946734337776,-10.023019830443662,-7.680363628213511,3.408936321967812,1.0439439037013174
35,-6.557818964149136,-7.00029318202817,-7.288394236206982,-7.472998070738974,-9.559526964462394,-7.144725455404218,3.077372345686796,0.9635191309835931
