generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-128.09765319194804,-238.5038735276048,-328.8129995854955,-389.14230128606965,-807.766171265133,-307.92783214750324,15.359117978793584,14.345677117074162
1,-117.34752525004697,-126.92421444922415,-128.7049398108928,-129.54481796262948,-144.32508287012237,-128.08506916306632,15.362267268566631,13.27097925186136
2,-107.28939461184943,-116.22527128879757,-117.99434280710759,-119.61435996619946,-137.26018661009692,-117.41905076150832,15.407747187765242,12.269714179961467
3,-98.43651228421926,-106.18213894674884,-107.5753956248861,-108.58205865911819,-125.50707447758883,-107.25291111397291,15.417121076611028,11.385363336083028
4,-89.49810421800804,-97.3536269237856,-99.57009658023124,-100.60137159811661,-124.53227847819389,-98.4323195805658,13.68792314589105,10.31860273638991
5,-82.76608979142297,-88.49802402316877,-89.82030849212676,-90.43249386832468,-112.99386169055524,-89.47653953977098,13.748390643553664,9.651448043497663
6,-78.44212652867583,-82.30637698422214,-83.91751756075061,-84.60467353133323,-105.33197883477273,-82.9374622051725,13.754542493864841,9.219666902254067
7,-73.32480654758866,-77.94714937000765,-79.052666601244,-79.95412157559215,-90.97924057972799,-78.54872907614752,13.720787722878443,8.70455942704671
8,-68.50761375560245,-72.66388452906273,-73.7248761913816,-74.12752566381461,-84.652574954524,-73.3114544027034,14.32444705136607,8.283206080696852
9,-62.365487587722825,-67.98303439640623,-69.13633305808116,-70.01554703155432,-81.04246543739353,-68.52355891422982,14.34698045287395,7.6712468040596775
10,-56.711720695979494,-61.78902476515498,-62.950911235890345,-63.98028797834034,-70.53236559983618,-62.355163200959694,12.656968455141053,6.936868915112054
11,-53.30476027625511,-56.49418271799291,-57.43427269211025,-57.87243232528476,-71.8275751301505,-56.88373801346958,11.830697210015218,6.513545748627032
12,-49.91948305119526,-52.928551086418935,-53.89113479942198,-54.32933972674627,-63.54960203571997,-53.30909859025135,10.577071443882783,6.049655449507804
13,-46.892527738041764,-49.61407042737971,-50.52147452501676,-51.0410496702874,-59.91991292113414,-50.02294979068064,9.929900913144825,5.682242865118659
14,-43.724414074617215,-46.51506556240138,-47.41949714890652,-47.991776472332916,-53.27709412903114,-46.910300720534636,9.90164254934255,5.362605662395977
15,-41.402563002949925,-43.43636431227072,-44.245266323571656,-44.53342839417019,-50.36767747144559,-43.78934840413993,9.964789737415408,5.136735274036534
16,-38.33151052216066,-41.13220304192211,-42.00893129518272,-42.63001520611836,-49.68793835055224,-41.63469728099007,9.51276804231757,4.784427856447823
17,-36.38522715616266,-37.97288533304129,-38.90625443475433,-39.31512627318605,-44.418807557193524,-38.347332284832326,9.556780892248954,4.594200804841161
18,-34.12870465743913,-36.14896617168683,-36.64594277143018,-37.10673136006778,-42.21105846172165,-36.46063871813273,8.161210776919688,4.228991543435882
19,-31.892566640727882,-33.76686765037914,-34.44098668737388,-34.94177358822269,-39.3991065674868,-34.118251713187526,8.172636133899278,4.006520277462716
20,-29.255654697288215,-31.725535947140116,-32.171510193862446,-32.53437316339898,-35.66438320800323,-31.95811303804083,7.230918349625128,3.6486573046913344
21,-27.127475988307367,-29.11686963656898,-29.697222412641683,-29.99870379377295,-38.095535007762805,-29.38680797854499,7.070982730764955,3.419845871907232
22,-25.188028769697823,-27.05692285041318,-27.627057181356417,-27.885396102610187,-32.181471060160554,-27.1971300616325,6.609403283211963,3.1797432052909786
23,-24.050091438879612,-25.08289187736959,-25.681376692688843,-26.107291853206682,-30.47804037351425,-25.3156608278207,6.609133307206872,3.0659224746086484
24,-22.510865161379797,-23.985661225017832,-24.369694246765157,-24.605319028294588,-28.44997127856055,-24.14640748758092,6.166677628809294,2.8677542790189094
25,-21.009448296410007,-22.347344063192846,-22.83478834862594,-23.062876612815238,-27.353619789574765,-22.556576716275966,6.163514528624424,2.717296282503443
26,-19.824827910487034,-20.895865171095608,-21.493831629051122,-21.797708352019853,-25.25154513763648,-21.062259262867002,6.166827058858929,2.5991654969345963
27,-18.412584077869294,-19.76438195044537,-20.219438148669585,-20.65611207870854,-22.917554510312087,-19.92198549071568,5.99529298547026,2.4407877063339556
28,-17.357881844344238,-18.325889829793606,-19.003089490196416,-19.294029823424886,-25.404637141639178,-18.57737556247316,5.995442415519892,2.335332425986413
29,-16.149842955334798,-17.281422133989246,-17.80413549848424,-17.965417560994464,-22.774410601206096,-17.41695541627419,5.63585006195172,2.178569301728652
30,-15.168341057635864,-16.034695865170804,-16.439025965471092,-16.610957719502363,-19.320080407689527,-16.200604197841788,5.095429364329726,2.026377042196559
31,-14.244201104945482,-15.157760697657423,-15.543726902681977,-15.832169228991555,-18.315805969570384,-15.33302468199911,5.104625497949219,1.93488266028947
32,-13.211423124637875,-14.238018660267311,-14.628382185318372,-14.934090215931885,-17.281638050187905,-14.387416330077308,5.13480171010146,1.8346224834739335
33,-12.485863874652335,-13.137852117516964,-13.46456120949472,-13.625316441163157,-15.960828646286373,-13.247506487819727,5.131512389603048,1.7617376264255382
34,-11.476484789733261,-12.426370874359304,-12.872150725203413,-13.178710247413683,-15.414684545168388,-12.62355015894229,5.039475469300671,1.6515960259033933
35,-10.639553535163415,-11.413105202740695,-11.815610887842146,-12.068106815456474,-14.804799441489994,-11.578622876520738,5.184641946271678,1.5824195481435093
36,-10.024155894010562,-10.573346010733836,-10.978470912916013,-11.27609183964466,-13.111845984627712,-10.74621106142058,5.214055417503552,1.5238211311514114
37,-9.2139314039214,-9.979640576848002,-10.391294162089487,-10.588676836122108,-13.492965550802282,-10.204257701050455,5.2047346834943875,1.4418666087415788
38,-8.406423244969655,-9.148951515137632,-9.506806374854532,-9.807905767166442,-12.004115839296578,-9.300046164831775,5.215303316867444,1.36217265618371
39,-7.761130439562965,-8.399479400422942,-8.751868898794246,-9.06931874267583,-11.069747284527004,-8.535370968275284,4.690200237542847,1.2451330677105812
