generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-124.33152515136067,-249.36506682634828,-320.87674014989636,-379.6203323868738,-811.1605991305212,-295.34949707351643,17.447420742696583,14.177894589405724
1,-103.98771146047812,-123.58372804828748,-125.85385959328997,-128.0225931781534,-147.78626699803328,-124.62412136156226,18.911850730344273,12.289956219082239
2,-97.9969779358396,-103.66754806526986,-106.03437458940293,-108.28551145333948,-128.1493641326403,-104.2670518001043,18.91750367742121,11.69144816132608
3,-87.4861705602156,-97.15610402394069,-98.63983569420503,-99.96270134465172,-114.18089337401688,-98.13260245968284,18.960322843184642,10.644649340340024
4,-80.4965798993116,-86.65997572043582,-88.34679058570939,-89.09895220489632,-104.48025430007318,-87.48719771567967,19.15634447014942,9.965292436946102
5,-72.76842716412702,-79.97642122980268,-81.5630112518948,-82.00078733644314,-103.59513087260878,-80.50730977575994,19.165756329624347,9.193418349375136
6,-67.86271823132739,-72.13034577668579,-73.75655171081613,-74.228796576812,-104.6498543324247,-72.78557154605262,19.145250426104663,8.700796865743206
7,-59.601537382210424,-67.34868678320146,-68.7582599427099,-69.02223917696008,-96.85676064530517,-67.85027822963423,16.595742347982153,7.619727973019258
8,-54.581961265747694,-58.972323357918555,-60.02157604783799,-60.9680187509404,-72.1139099264683,-59.657633289765634,16.862797867972205,7.14447591337199
9,-49.61762039674673,-54.4780693290259,-55.515057413000804,-56.113853238425826,-68.85310301022731,-54.79129210983033,14.590946855307548,6.420856725205429
10,-46.049051994928625,-49.23987197669989,-50.03472882452011,-50.71009219754424,-57.851061407389565,-49.63644033735359,14.647973291107023,6.069702528603565
11,-42.76546790315134,-45.63096077131654,-46.76635950920576,-47.55842125774498,-57.31688466832304,-46.19708151250816,13.565732947434235,5.633120085058557
12,-40.40615496937919,-42.58653337487662,-43.307277861170604,-43.50837617593735,-56.86841371802592,-42.80863027199419,13.60618846702593,5.401234343640512
13,-37.585558642039885,-40.204991174651916,-41.04469413956832,-41.724655056204824,-48.374796045341064,-40.56918683220772,13.945888413223654,5.153144705526354
14,-35.7916728549918,-37.46058934364288,-38.25660381900664,-38.816224493895774,-44.55491937733082,-37.69159911618823,13.681774359675384,4.9473447214667186
15,-32.91459133061819,-35.53404878445973,-36.27639412378049,-36.47171013730197,-43.762048716380946,-35.7917253307397,13.721636371416858,4.663622770203505
16,-30.46012217878422,-32.76173023622527,-33.51776721135189,-34.02975945748824,-43.3215518627221,-33.026167582467636,13.738901084158375,4.41990232629426
17,-27.519821690613234,-30.205020621283943,-31.09469973730583,-31.80475398330133,-37.89737470345049,-30.652984900832784,13.747265467549054,4.126708715816229
18,-25.37159425529108,-27.319070195015613,-28.293164640682544,-28.935405469576402,-34.656891743340395,-27.697275285493824,12.737613497871658,3.8109207753162737
19,-23.082386619685806,-25.347485297744726,-26.195968210284626,-26.58432151538561,-32.5659555381896,-25.575688995189168,11.332573253032825,3.4414959872718636
20,-20.97352522508184,-22.962990455029676,-23.552818578127297,-23.820345840881377,-29.327503627265116,-23.184955367465015,11.165751671739397,3.2139276896821234
