generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-156.19417714124955,-242.03519800398118,-331.0509999341584,-425.8989606036618,-821.1942510369024,-285.94722213336433,20.180448554490052,17.637462569573962
1,-146.13037377396827,-154.23018648976972,-157.3144384906507,-159.25483609151556,-176.729532697087,-156.29328393268244,20.17420858829076,16.630458236225902
2,-128.5536586182809,-144.81873274694573,-146.3348719339705,-147.76345260546762,-166.80827685627875,-146.14257469552075,17.4633633416239,14.60170219599048
3,-121.04821789176958,-126.44793550651254,-128.78414811649156,-130.32282164135808,-148.64441138622553,-128.50587609633163,17.47292999340067,13.852114788517026
4,-110.60861829806815,-119.28622980846487,-120.97484221222334,-122.25250849513249,-133.05685307968065,-120.88166337988095,15.796862441449363,12.640548073951752
5,-101.79261500818733,-109.25473548486775,-111.23413340683754,-112.07346136018391,-138.85283533041223,-110.62923372385703,14.753372797266076,11.65459878054534
6,-93.76184028406044,-101.00049044716543,-102.78387280168351,-103.88686920870967,-122.85804307346785,-101.79360880664619,14.750313774734941,10.851215405879538
7,-85.68278576951884,-93.30219945153772,-94.26185000019488,-95.03190368520772,-104.36198374695257,-93.75820735478618,14.759989429815818,10.044277519933466
8,-79.0703051248656,-84.56649033933559,-85.92997430496787,-86.63752226413388,-97.04941641370593,-85.68544780431594,14.840030306499441,9.391033543136505
9,-73.17863179100165,-78.12759153991517,-79.29158454937044,-80.10125150859521,-91.85749542318446,-79.04763034914862,13.48262265158892,8.666125444259057
10,-67.46185875543213,-72.942819829639,-74.16721455964932,-75.08660886949814,-95.45006780989571,-73.3510002873856,12.214311901602384,7.967617065703452
11,-62.33056332618883,-67.33065759558451,-68.27995368535646,-69.3210736436864,-75.30636498409709,-67.78287647109238,12.211177567907422,7.454174089409626
12,-58.91193048164136,-61.675402376109275,-62.765425838712446,-63.22473927369741,-76.92303785384783,-62.34612306745289,11.327385366480684,7.023931584812205
13,-56.45330690869636,-58.59228008987506,-59.36822238697206,-59.57862288670522,-66.22423992891139,-58.96120248653175,11.324241591484576,6.777754850018094
14,-52.65647866029715,-56.0225320249618,-56.94123905439742,-57.32026035592611,-65.18670932071925,-56.47852344691506,10.411700839085917,6.306817949938306
15,-48.86513619297509,-52.529709181444304,-53.239964439154285,-53.43547146848494,-61.9201539533653,-52.703708043111384,9.740081547605127,5.860521774058022
16,-45.72904881027279,-48.78122686289141,-49.838501048187105,-51.12884896923271,-59.27736029184764,-49.078614570019575,9.299936260884735,5.502898507115753
17,-43.40477628297222,-45.541722567349055,-46.330847956743696,-46.870301967923766,-51.97211899302951,-45.77145267011743,8.491885875249205,5.189666215822142
18,-39.08457027676359,-43.21433105028207,-44.11276103101319,-44.39669708993192,-55.36708579380843,-43.441428230464666,8.092830988610906,4.71774012653745
19,-36.63975117461659,-38.7615776796611,-39.441959634043585,-39.77829417172786,-45.570432692405475,-39.10980753391398,8.092830988610915,4.47325821632275
20,-34.708208095143036,-36.49167050815758,-37.12783113795245,-37.54834457773832,-42.709360475530225,-36.71915593594244,8.099494047941034,4.280770214308407
21,-32.74093198616633,-34.34451745946866,-35.01303809945763,-35.52719045457147,-38.62353439690506,-34.71149986737262,7.201078679903073,3.9942010666069403
22,-31.041791132458677,-32.45153996539257,-32.92232312593542,-33.11953955938592,-38.48332123964116,-32.7485438327292,7.185482502061982,3.8227273634520653
23,-28.95495676520083,-30.853567380440573,-31.47933854916964,-31.82154833344471,-36.44816951639525,-31.125132470725674,6.757142042701159,3.571209880790199
24,-26.769211715757752,-28.733849943522635,-29.24577592504709,-29.494640504503888,-33.39126079403974,-28.97517061237768,6.517798977689313,3.3287010693447066
25,-25.152683970430804,-26.626666654705755,-27.233590536155926,-27.838075145746863,-32.430324603966156,-26.816639171910246,6.014636668641356,3.116732063907216
26,-22.486056495949494,-24.998746295000988,-25.57032433905059,-25.87532049803424,-29.153346560357196,-25.266079983056564,6.030471916313265,2.851652841226276
27,-20.72204239214339,-22.446380786538715,-22.99467396561241,-23.371283590322022,-26.59959785568256,-22.644879156975804,5.995004903127843,2.6717047295271232
28,-19.17300457989703,-20.689672617920657,-21.113261308578323,-21.55895188977927,-24.7157326162411,-20.78940381411712,5.994822186416432,2.516782676631346
29,-18.104856334334713,-19.12598888044632,-19.588266444514773,-19.910136815233326,-22.795033082190653,-19.35126335677215,5.369396687139689,2.3474253021474403
30,-16.57923420946742,-18.07532900868841,-18.49547217805143,-18.718842613425075,-21.921843760105713,-18.268797399901686,5.376189757038734,2.195542396650615
31,-15.138837680021544,-16.546670380174174,-16.86122280505097,-16.89383943170149,-19.456890957155228,-16.67999210352135,5.31578274165941,2.0454620421680954
32,-13.85972506846489,-15.110393038579627,-15.485377653425841,-15.54922284071635,-19.898027376949997,-15.263433602057425,5.182598487078966,1.9042323555543856
33,-13.0338794899659,-13.788904453407987,-14.346150055299573,-14.56191497567157,-24.508571443935022,-13.942987401277133,4.758035723487273,1.7791915213453173
34,-12.487989858609119,-12.952306544409279,-13.356688791822489,-13.543207488655788,-16.296393502471048,-13.100233306623373,4.600693700005603,1.7088683558614721
35,-11.631842959694861,-12.387479982136174,-12.70225518489295,-12.936174417868372,-16.323022352218047,-12.517601586723273,4.088131314323376,1.5719974274018236
36,-10.73226671117889,-11.568546321468617,-11.939696213573995,-12.07000793419983,-15.7290929153445,-11.694760789328363,4.078862533466404,1.4811129244645294
37,-9.971600503601504,-10.68836607812351,-10.990033991516771,-11.11234158845253,-13.63749429315306,-10.752978565130089,4.078851727704586,1.405045223130609
38,-9.361995204116024,-9.960208083338852,-10.306379716612575,-10.386983268236577,-13.340394662519753,-10.087044414368028,4.078862533466391,1.3440857737582417
39,-8.73036287465364,-9.355163752680642,-9.784198966295218,-10.110823120946474,-11.900033136150677,-9.512754131171324,4.0884434402915915,1.281880631494523
