generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-114.36960584187685,-222.68128863359908,-322.57261930011595,-383.27144061083504,-763.5613846443662,-305.4022532337743,13.04228438477811,12.741189022665496
1,-100.35834815495333,-113.22440533802941,-115.07025707624597,-115.91062867333531,-137.97609827120928,-114.36961976251865,13.123002379144372,11.34813505340977
2,-92.57207307893216,-99.73534234688887,-101.21980220818679,-102.23046061052345,-120.10320252508758,-100.38620727393385,13.148107802343414,10.572018088127558
3,-84.28792575133632,-91.65241126658691,-93.18277393145273,-93.90667325029148,-113.7674260418995,-92.59879450899899,11.49397932073792,9.578190507207424
4,-77.8390069165808,-83.75656390287307,-84.74617981640898,-85.36034940030851,-97.09143042546316,-84.34701491470331,10.478719149796794,8.83177260663776
5,-67.25432250831675,-77.10065933451031,-77.81580957474246,-78.26749905511666,-94.21336226780977,-77.8155009840161,8.555121908265113,7.580944441658185
6,-62.009585793472766,-66.81573191691373,-67.93274982794266,-68.54417993929583,-85.24845803457914,-67.36341426418636,8.539684726190005,7.054927051966277
7,-54.28727390615852,-61.38919946036389,-62.39546517118679,-62.86619985378907,-71.94659054479379,-62.07609964837945,7.280645483064905,6.156791938922343
8,-50.412018359731974,-54.253863488858926,-54.88178916630401,-55.252683502352454,-71.28113857967988,-54.48835115884218,7.322266854147546,5.7734285213879515
9,-46.08441898905659,-49.99627026606469,-50.80878911151221,-51.448579118359376,-60.46227221651584,-50.42291972887365,7.404159982920193,5.348857897197678
10,-42.908495991347166,-45.77172698627256,-46.296234855077984,-46.59919289426844,-54.465318067738906,-46.07618066280898,7.416300398564577,5.032479638991174
11,-40.57485787480957,-42.58616223982084,-43.195109758676146,-43.48819974162784,-50.453392962392655,-43.00358400598807,6.797088133300227,4.737194600810979
12,-36.764256264504375,-40.177496186260626,-40.828200379580366,-41.2915148986302,-47.17887619362204,-40.58863988003622,6.120537436603921,4.28847937011083
13,-34.71514681587966,-36.483361124248155,-37.05432816835692,-37.60568359123331,-40.856910549503645,-36.78123854521941,6.120537436603919,4.083568425248358
14,-32.51158454540985,-34.39219542424646,-34.95214328417758,-35.14531741875439,-39.74534466096074,-34.74645853835045,6.11437400073796,3.8625958546147814
15,-30.7962151999885,-32.415872235540256,-33.142400011408284,-33.44753463537632,-41.167441971538665,-32.72115367767064,6.125834672962893,3.692204987295139
16,-29.92899745708565,-30.708074074925513,-31.45570985471039,-31.6871756992479,-38.4344665826827,-30.910570912587907,6.213765736076191,3.6142763193161844
17,-26.587413858919973,-29.772751471965876,-30.33592144119903,-30.784348319490093,-37.94273910234633,-30.071710821399144,6.0113084791076465,3.259872233802762
18,-24.005314993042866,-26.521018026032287,-26.89619781350886,-27.32488861674973,-30.499815660882632,-26.754413917886737,5.620801173988754,2.962611616703162
19,-21.576949523876692,-23.874541018133876,-24.245816723191066,-24.4040461578438,-31.97387587731434,-24.056182522222656,5.2666849425962905,2.684363446647298
20,-19.941501496436608,-21.454222797921123,-22.10954695748358,-22.408181370420078,-27.491252222303952,-21.637496561800795,5.132345613857768,2.5073847110294376
21,-18.70918160612746,-19.80776033249057,-20.21316190513343,-20.49446519054831,-23.044338504010277,-20.024873566647344,5.157623223135281,2.386680482926274
22,-17.497429726062755,-18.582944742359718,-18.973118696659274,-19.35003202726555,-21.659579286608103,-18.7603798228378,5.174056824202568,2.2671486550265323
23,-16.250235164123694,-17.412136891228943,-17.75989881068148,-17.922836008880072,-20.83668905799406,-17.58376669319572,5.186508492345606,2.14367436564693
