generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-72.22473392784062,-232.67265928928776,-323.25693720021286,-407.34314256024237,-904.2499373444532,-301.752704970267,15.692757252828184,8.79174911806688
1,-64.53762480137361,-71.62237940848362,-72.96886479593108,-73.3092294298584,-85.2543559927018,-72.33570526708107,14.792336760030524,7.932996156140414
2,-56.31998936005246,-64.35919353234905,-65.27548617754658,-65.71538448472896,-79.77823863924246,-64.6426778432285,13.201745174752032,6.95217345348045
3,-52.38406522816157,-56.00480848090802,-56.60543887613392,-57.280821830829524,-66.689641106233,-56.4475348494116,11.841100395516868,6.422516562367844
4,-49.00794290637682,-52.21178970093415,-53.26438635954504,-53.89867077987756,-61.35091013560822,-52.481396092607575,11.878257100065008,6.088620000644182
5,-42.256380753477664,-48.66882562071061,-49.567151992323176,-50.21169297339121,-56.995346031372286,-49.0762322792552,10.245776932448807,5.250215768592647
6,-40.041705421425284,-42.03722243979256,-42.97721177870876,-43.36639888419528,-55.98848920520575,-42.3444218285375,10.236181811387981,5.0277887232813265
7,-36.33376640621887,-39.75990102608058,-40.53393347921866,-41.38700254559098,-47.97715508482531,-40.08600750330069,10.227048625586205,4.656081503180507
8,-33.94527231142263,-36.156886591535866,-36.72009146872808,-37.05961922208709,-44.05096096342326,-36.37550947018368,10.242373855279961,4.418764616670258
9,-31.419569346352738,-33.68591398677937,-34.5212538431552,-35.072056964243046,-39.765101546097924,-34.021670825264465,10.232939096284705,4.165250844263744
10,-28.726872368850888,-31.236285150280022,-31.757700813876916,-32.078912552634236,-37.0981046499396,-31.44515930806091,9.888567141372189,3.8615439510223077
11,-26.448806874725115,-28.57072423551379,-29.207438718405843,-29.83824496727442,-37.1350475271689,-28.860228469407595,9.92062574223747,3.6369432616962585
12,-24.620721658485575,-26.334108506981032,-26.89159586028582,-27.177554162627672,-32.076506693637384,-26.480491762929795,8.990183499658617,3.3610905158144195
13,-22.799768336160135,-24.50044228843184,-25.168752374921883,-25.762774347553723,-32.55696883876771,-24.670887248105043,7.967444046172388,3.0767212382332523
14,-21.065924287763533,-22.64254068780238,-23.130674685647392,-23.34887500922941,-29.256256059071006,-22.89851931098901,7.996612139343063,2.90625364271066
15,-19.565289545287982,-21.009006058227914,-21.4416712659589,-21.80217171564099,-24.93926591762553,-21.13252107772606,7.801827847778062,2.7367117393066045
16,-17.523877261949075,-19.542532306949866,-20.046886620491644,-20.322464284307635,-25.686441390601885,-19.734903816507686,7.935617053422326,2.54594943153714
17,-16.414670745472215,-17.438109994080865,-17.967796538984413,-18.298615784949106,-23.269666717546833,-17.586555288236497,7.947025179640643,2.436169592511286
18,-14.797988744371036,-16.28632902398229,-16.902066293688083,-16.922714485617306,-33.152294105384605,-16.500061939543752,8.195550915569338,2.2993539659940376
19,-13.39392405226156,-14.741525097670308,-15.128414170427977,-15.436554644824461,-18.962341775831554,-14.928085108216695,7.571402035450838,2.09653260877124
20,-11.772426600066472,-13.33807721005162,-13.692253348767636,-13.943477404643957,-16.95026716116996,-13.429453704197503,7.57184195062157,1.9344268550688044
21,-11.255461577506981,-11.741588265723603,-12.183292556960275,-12.334604530347491,-14.952368741948675,-11.889308511564893,7.568960158287033,1.8824421735794015
22,-10.111915264504471,-11.209280362047501,-11.62450287918188,-11.93612534730316,-15.138942800736132,-11.380840314646154,7.5847205335658705,1.7696635798070341
23,-9.594330759212767,-10.025569739580309,-10.373626893982317,-10.500167213797125,-13.05196656077679,-10.137646195431977,6.601984172886773,1.6196314932099538
24,-8.772290326609049,-9.550488325426267,-9.996991728433084,-10.199570090165786,-13.275715294132107,-9.695060170373043,5.5960628955555185,1.4368353222164567
25,-7.902346173471137,-8.730684821672064,-9.04836989578948,-9.213785921228009,-11.107512191806574,-8.928173732757887,5.34260370513194,1.3244949878603076
26,-7.193029869140498,-7.8960940829411905,-8.224630967411109,-8.441384798278413,-10.807444046361873,-8.041781405373314,5.253524297117832,1.244655416625833
27,-6.638888989470355,-7.166663948513779,-7.48783220800888,-7.602021026284633,-9.849443406103568,-7.274593586879041,5.2597880868977365,1.1898677076368092
28,-6.221282814376197,-6.645159766001953,-6.864737116857697,-7.0402423757622135,-8.684696964796553,-6.737377932089636,5.253285219478627,1.1474568033854824
29,-5.663925298135939,-6.201910578340571,-6.515592032151843,-6.713829236055932,-9.265371179959462,-6.308835044630895,5.044046004837807,1.0707971302973747
30,-4.968514191546668,-5.663904730959395,-5.918970816046595,-6.027500606082845,-8.069110150683768,-5.778238311457539,4.612619203513726,0.9581133395060394
31,-4.502444886325797,-4.942961771555843,-5.217914684019725,-5.377587124067517,-7.360476272932647,-5.030454390359848,4.641872489313743,0.914431737563954
32,-4.126120346677232,-4.4844376121508125,-4.773212373458189,-4.955425259640901,-6.901533204690068,-4.592096462540471,4.556707629933313,0.8682827976610544
33,-3.7856424551565047,-4.116782672191832,-4.3479310514534895,-4.464947812475361,-6.2921849458392805,-4.213427965012181,4.351591466490553,0.8137233921647057
34,-3.469022939531076,-3.7713779375386736,-4.040016135320165,-4.13574808215554,-5.833203179616368,-3.8627079504003063,4.410591602812357,0.7879614542343433
35,-3.0484851025738005,-3.4569672155320976,-3.673798282061021,-3.801737912548335,-5.34212493042384,-3.5425539012983873,4.407450704773078,0.7455935807346878
36,-2.7236713354301045,-3.0206435131810982,-3.2874981447639224,-3.498665262579962,-5.143716378038415,-3.1512753423798237,5.113563718937451,0.7837235054367555
37,-2.455661453160448,-2.7196221551368494,-3.0841228396543308,-3.2775270006896644,-7.396591221981847,-2.8728169133468775,5.126057737635279,0.7581719190795727
38,-2.1885430887253268,-2.4911251895226005,-2.773454651409895,-2.9061484562047495,-4.880714358039827,-2.5946736856010566,4.9873108662532495,0.7175853954978576
39,-1.8443213366800792,-2.1916950404542606,-2.4562909996710953,-2.6199780433098345,-4.3573388186849895,-2.3066123268603542,4.990401421360063,0.6834722758040142
40,-1.661578475404668,-1.858422875555486,-2.117719894507888,-2.183334355262824,-4.850685088575511,-1.9773115897730498,5.004191884222079,0.6665770359626747
41,-1.4497979507720924,-1.6774279942264068,-1.9341988859946797,-2.0737757526574336,-4.089066582227967,-1.76257148053261,5.007310510299032,0.6457108461071124
42,-1.3016588441638284,-1.466776857583354,-1.6953921558453833,-1.7272300717094993,-3.8153875607552017,-1.554352442156703,4.759939425014203,0.6061598269178031
43,-1.083044724836645,-1.3333021879420457,-1.5727094684227099,-1.7038440839096038,-2.8697058427490596,-1.4545603777871947,4.4825022699298405,0.5565546994766486
44,-0.8852584127981054,-1.0821756923575485,-1.382115324579367,-1.4937876604850988,-3.6269155679569254,-1.2061016724429314,4.441759589871695,0.53270180026698
45,-0.6721821399017438,-0.8784155827958733,-1.1379790671502348,-1.3075371306975399,-3.0715983475129685,-0.9608875175149518,4.405128123495479,0.5077310263397223
46,-0.44893980875788664,-0.6818000462855398,-0.9607377313677042,-1.0933311086355042,-2.874822503309498,-0.8031952278248067,4.494746368695557,0.49436861774534435
47,-0.2609520231609528,-0.4626313874218342,-0.7254662678257063,-0.8644787269632834,-2.2022512659372753,-0.5526727698768146,4.4260753915508655,0.4687027414711818
48,-0.12453426865833883,-0.2699988740045889,-0.5063322302698616,-0.5968354158115039,-2.2687861834635976,-0.3900139463715395,4.426064636110588,0.4550598904768927
49,0.01632290740981901,-0.14799825116169707,-0.3779770234623977,-0.570966434587378,-1.434575901755692,-0.2501848387713981,4.404898270887163,0.4388575363477344
50,0.1644510284102516,0.0033290843495095146,-0.20901449536305775,-0.33673647930474715,-1.5905244159620553,-0.10348449333625886,4.818527512611051,0.4654076484200799
51,0.3019904526211361,0.15178236414070856,-0.0996926102902669,-0.20715567879641394,-2.2201082124196017,0.06068685783929029,4.847682406546482,0.4545691953925346
52,0.5941513408039389,0.28503138703655395,0.05909619071747767,0.008451993344996467,-3.2530485096112667,0.2050340096913632,4.835295874337352,0.4241144533533413
53,0.781522486735466,0.5911590350515947,0.3921286069242407,0.3250959575053658,-1.5976625903619288,0.5062847126114147,6.790781563885839,0.6009259077150373
54,1.1529304829871974,0.7844500724344758,0.395026794434979,0.22114793710443337,-3.07718467239202,0.6213431630104185,7.281476572744523,0.6128546089757326
55,1.3596469536153402,1.1588887730432083,0.7921512728477285,0.6240126582996437,-3.668250493563754,0.9777339002273648,7.290878171537574,0.5931231217922234
56,1.5981427373883257,1.3221650198588,1.0116791899257116,0.8960538997868825,-0.9379705663733722,1.212476445183683,7.293723631835209,0.5695580894446883
57,1.8382662251226947,1.5739045611232951,1.2301229719915805,1.1879995574310618,-9.51412284943035,1.4156572536115397,8.705071229666691,0.6866805004543997
58,1.924823237511478,1.7886135524763889,1.3702798006696293,1.3078533921076598,-2.391186376817414,1.6468853821568192,8.710618628950668,0.678579539143919
59,2.195388451706629,1.9004087587972478,1.4827014289223397,1.3301220491183425,-2.0650228840674174,1.7251687441499897,8.952895191084192,0.6757506739377563
60,2.407679098474766,2.152009953872648,1.7587791927343581,1.565250296310471,-1.0418038863326196,1.945964793851938,8.991098543626373,0.6583419445151607
61,2.745155569105899,2.392438307093598,2.083514347274597,2.0293058115437788,-2.392743708928526,2.252785285337193,8.975742470263578,0.6230586901157679
62,2.9542987304538766,2.723997654520245,2.338370635888457,2.26126444811531,-1.6502840917183672,2.555090313150248,9.753319205914496,0.6799020475460619
63,3.175853802009158,2.9511239805944953,2.5426479774848545,2.378790890276104,-1.104435071858143,2.828048489523249,9.699544478781188,0.652369067677203
64,3.8390487815012246,3.140597851683557,2.862868156922774,2.6965678702766738,0.6437525554696268,3.019622545596793,11.032420508033677,0.7193371726532453
65,3.998905246244404,3.7491316675610014,3.308078477404,3.0281436127448753,-1.0318479036494104,3.481929111173776,11.219920681798202,0.7221015435553798
66,4.088069613124739,3.9360023483588495,3.5049001861185625,3.3011665306734734,0.49102106219956454,3.757022907953088,11.203336001680166,0.7115266388555426
67,4.356862939172297,4.053934657456789,3.587697892590508,3.251110576524149,0.6372906752339365,3.859663857770445,13.187089346095652,0.8830226406923355
68,5.0385521722758195,4.3466891215984536,3.8063540360623254,3.588463787307129,-1.123391349226491,4.15710273777541,14.814454485835055,0.9775902313559235
69,5.614610329723071,4.993252531435163,4.323290954173442,4.01921833882046,-3.072193506144357,4.718843212146475,17.10996118017539,1.149535085045232
70,6.240209146620574,5.563878586750766,4.881253596514672,4.603540960380785,-5.095326862215984,5.164358185216546,18.164461537034626,1.1924252390414052
71,6.764527009046347,6.168971777898221,5.179737092310104,4.984708429522426,-22.752669191539145,5.792408244689145,19.837572198152678,1.3073045189106332
72,6.98913676841692,6.723990485684634,5.975498976532818,5.803357548443493,-1.6550994671727395,6.415380345528392,19.77901418820017,1.2789877419783249
73,7.267416267050091,6.955152171991186,6.087188117928559,5.957289248405143,-10.43666226058679,6.7408786182152145,19.763534634389448,1.2496118367339357
74,7.6758595965786185,7.110162928931466,5.64024930339534,5.342382799240513,-17.2418597261499,6.736740853920502,20.377848585453233,1.2701988988874615
75,7.967790643569419,7.669793946987301,6.827647266579374,6.714529430077386,-2.714166662317659,7.360800212126893,20.430223133664512,1.2462432490095092
76,9.286265960310997,7.9308867529922065,7.263479970244936,7.089960450346529,-2.107889199216391,7.652218441782816,22.071669835550075,1.2785403875239079
77,9.59200282827128,9.174388985036213,8.066391421503415,7.931623153764155,-13.454068881309844,8.735498593906678,22.000139713251688,1.2408136884980407
78,10.158836163242626,9.579636018835691,8.769436606577207,8.483915501954174,-2.564626634292086,9.314258943790005,24.03603189970794,1.3877195736465313
79,10.479154045980653,10.098324728461762,9.269697898248353,9.320702687908167,-2.5354028751307283,9.797794777554,25.62079282206712,1.5141638776086466
80,10.661178935839581,10.3766010966843,9.271973318660558,8.802732098916117,1.6424309371656172,9.767849257322279,25.644079673277655,1.4982900737438074
81,10.878614218924714,10.62097420759679,9.614488753103918,9.394858377828879,-25.269722712047262,10.28278198354788,25.60359083766875,1.4724976618744037
82,11.247975444472498,10.887029533154966,9.87273986657109,9.82343856104086,-18.394397236231914,10.62677741210586,25.628477795692532,1.4380502351220035
83,11.66830962151766,11.223308868042865,10.3300227129896,10.017204556732576,-0.5319307977559227,10.887388481355785,25.613175749982208,1.3944866128464548
84,12.479411970844927,11.66797581226874,10.625712937777317,10.347737923798524,1.632297599171494,11.372470760097475,27.390702427321767,1.491129045647684
85,12.88214817516432,12.410195481774913,11.234686496604244,10.88622735863635,-0.6498711797576391,12.186992600708798,27.33962749331512,1.44574793181508
86,13.228089011632342,12.810345562644013,11.554732153308516,10.679330072052503,-2.6702712209779484,12.323344517894977,27.324131374366967,1.4096042362734624
87,13.513798435800513,13.194664671679137,12.140567319872295,11.851773726371606,0.46663076796593117,12.793592159077548,27.27759808644712,1.3763799650646606
88,13.787537619231815,13.413154013818122,12.02073301397289,11.53814938779279,-3.510359272395675,12.898269896262203,27.228018749112536,1.3440481129880721
89,14.02205994699666,13.712343239551824,12.85007524157442,12.470549329449518,3.5276531181967457,13.322604487137692,27.21252378851519,1.319046384151853
90,14.190576417380273,13.972052509738976,13.091297207092765,12.759511665406977,3.668898238176478,13.583766947445206,26.971760649557798,1.2781184232177525
91,14.9990640754719,14.128559220922506,13.060129799527271,12.294438742784473,4.161089013412546,13.768637383821257,28.718568722751247,1.3719504647279348
92,15.345651054083023,14.971137091931656,13.676269656096,13.669767685620624,-15.370845439451845,14.608607271631628,29.50511065281785,1.415945959873483
93,15.763520140311961,15.207343646925317,14.002664635334874,13.94470907054512,-4.525134276113107,14.744918596995733,29.36901087291989,1.360549073260793
94,16.12997904282997,15.688053103801803,14.677363388298772,14.377403269271037,5.0047198038258,15.305244186275248,29.50882368097702,1.3378844638147052
95,16.378817437237295,16.084294540487306,15.319067483372669,14.97227732579612,11.186353827062192,15.724497965168116,29.846384365948882,1.3467566928711587
96,16.709635221790982,16.315009566079137,14.486584185121396,13.987848513015654,1.3974108452724003,15.630328555015215,29.7444850082524,1.303484978646142
97,16.908269515877908,16.694062525738925,15.42772295373031,14.986011741850751,7.64510676995787,16.24645542178647,30.0625876800056,1.3154318164127692
98,17.269630952287336,16.786913037919152,15.328603808897405,14.767141246993319,6.048091032811314,16.15847989222962,29.954465633692948,1.268483468140561
99,17.70755000805613,17.140376859397904,15.861984345951322,15.536290956423278,-1.4327588274470742,16.630403387946032,29.954507849032026,1.2246957840975896
100,17.9077265638064,17.57276797138227,16.45732845897874,15.991832976444908,6.09152225208339,17.06462351895309,29.963400694292975,1.2055674130486576
101,18.099520720197518,17.876476740723895,16.81485370934208,16.437854340861133,5.918509565403777,17.53046075406821,29.973209756188844,1.1873689035991324
102,18.281094797307272,17.912930213557992,16.738350443223933,16.429596667546747,6.504493240464139,17.484716671956157,30.04459316956264,1.1763498372255365
103,18.586591930687863,18.218392906340654,17.00770177590609,16.636094468368384,-5.767531560235344,17.814956672414073,30.00546432345942,1.1418872392771557
104,18.820572101432703,18.44147697670252,17.04161417476457,16.65134879253202,5.461784896771029,17.79152935084751,30.31332468523204,1.1492752583799337
105,19.002232942442944,18.627374517122504,17.000680545100465,16.734917345022275,-15.19983016804829,17.886183700006814,30.31003981507813,1.1307806872635189
106,19.291870096406665,18.948396952143277,17.68700907454745,17.272219030758496,7.642079069271698,18.506397742020503,30.306432319932714,1.101456222352605
107,20.108122334147595,19.243865862308702,17.93122137301091,17.412703868313336,3.8848978566936054,18.84508662837385,31.568738167575734,1.146061583342814
108,20.48215039994275,20.04509812441522,18.94002934107743,18.492430437406803,9.98780282676379,19.486118757032045,31.772846836640774,1.1290696436698024
109,20.584454173776127,20.34539571046962,19.029448172446312,18.674270316700543,5.542390358832872,19.958518007886347,31.472452596724274,1.0887998422948146
110,20.870653131871624,20.350944335991322,19.049022990151048,18.311536239606866,8.487899645359697,19.629370684285455,32.191711803966484,1.1321058672094861
111,21.05691205575556,20.73566442132814,19.264626086721023,18.968361964381856,-3.790514221995359,20.188116924140246,32.0584701847539,1.1001558128998339
112,21.30823258370141,20.996133808383007,19.807109318530845,19.103918042786155,10.558168258438926,20.481983156592445,32.058273117683164,1.0750040533981753
113,21.497564321886145,21.138367757443188,19.93169461475072,19.287624423828227,11.20498894034747,20.616184256927014,32.6504601557279,1.1152895833841754
114,21.69016163592589,21.400613011086936,20.374105972253837,19.70190021794027,11.387300768316074,20.9960150609634,32.49325639027282,1.080309475434693
115,22.01481584862887,21.638150726217045,20.14234703313431,19.85037016520907,-24.238699925724394,21.205938084991196,32.525053175040945,1.0510237326412075
116,22.277243665292247,21.95438845455326,20.495867628396397,20.174153682344013,6.270891680765452,21.559404489744338,32.512605647288964,1.023536198199672
117,22.58506038712642,22.230641576868216,21.03277153473365,20.79175886245701,12.03017814339222,21.89486064725535,32.50977061342672,0.9924710226300296
118,22.793530968133577,22.539968901411484,21.551194105488932,21.060254450071884,5.208236429380435,22.25269150908565,32.77832439295052,0.9984793424816946
119,22.985404949907096,22.70387126621474,21.361348582189585,21.136132307540407,12.64969458710046,22.21481438930501,32.76891319077861,0.9783508240871516
120,23.15824804531387,22.892577725620388,21.82018189485082,20.958363246097775,15.904887261936608,22.510278948498495,32.70413985013287,0.9545891804818998
121,23.3908594330169,23.099217811598244,21.876490626426907,21.484721928512975,13.305663113177992,22.722292267257068,32.717082797223306,0.9326223364206406
122,23.51092955718552,23.246283894775445,21.646051198960944,21.01296696711985,5.798955507379681,22.587758602323937,32.66898269113031,0.9158053133944791
