generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-131.37143779642673,-249.17552752097214,-333.3537183840894,-402.8115116054029,-715.8925151246316,-310.7845170192436,12.936515320530724,14.430795311695746
1,-114.77084596150172,-130.8719902425203,-132.2378570857882,-134.41679403313134,-156.47074721687645,-131.40137127364181,12.93032791629476,12.770117387779647
2,-102.1235024350017,-114.16663128644663,-116.33539893772989,-116.82306385906524,-135.22306537203062,-114.7754908456269,13.00112252916119,11.512462496416289
3,-92.30199951880178,-101.6606925337909,-102.71545789078772,-103.26680444581133,-129.20353243454974,-102.13770781318516,12.998005345845103,10.530000486464688
4,-80.47287629645041,-91.67003404777162,-93.34805200304768,-94.09760241301383,-118.23524710435476,-92.4436581939011,11.251994782682441,9.172487107913286
5,-74.02166888723814,-79.6452090486604,-80.6172364981876,-81.56578422555636,-91.98536851059174,-80.45753499820795,10.927831508568577,8.49495003958067
6,-66.46360080136313,-73.02446492993013,-74.53175738234047,-75.12383833518716,-87.27550879290771,-74.02823876619199,11.078849265210268,7.754245006657339
7,-60.58231119289391,-65.64347358869915,-66.88269423905192,-67.28535200356282,-86.14622226672778,-66.47284286421389,9.693989319117035,7.027630051201094
8,-54.454732511458275,-60.3786875873364,-61.116094553988916,-61.88944137164691,-69.24697743339931,-60.64108492986867,9.690932346070696,6.414566485752896
9,-49.2759019709911,-53.78640318484098,-55.20887807087761,-55.56684805232632,-69.7027365334073,-54.472823545808595,9.03230039641306,5.830820236740416
10,-43.692515116498015,-48.69998712591074,-49.68934141703311,-50.450343756474176,-64.04720279950311,-49.30252306005189,7.432439445474106,5.112495456197212
11,-39.794957838796854,-43.220774442386976,-44.200233078009354,-44.45076008431095,-52.68024322090244,-43.69568476324559,7.435450367009436,4.723040820580629
12,-37.69660628008697,-39.56289891459424,-40.43149188855348,-40.86375768363355,-47.78168651556378,-39.88490188305052,7.394237944994033,4.5090844225081
13,-35.30922975431257,-37.42202835741386,-38.38109837266641,-38.776527093741976,-46.12805243750976,-37.7751858906916,7.456715120895868,4.2765944875208435
14,-33.64337204753428,-35.21692838095167,-35.814008833208376,-36.18953152788954,-40.53297664151701,-35.41216023132629,7.399844571162596,4.104321661869688
15,-31.205518221879604,-33.454894481168424,-33.86701977268641,-34.20418391992082,-37.43797684273791,-33.70359278672362,7.399797961189375,3.8605316183068976
16,-28.983735426750272,-30.982814400462626,-31.62350090774334,-31.960661591861403,-38.13713413243947,-31.233193693189996,6.579393830138137,3.556312925688841
17,-26.54436735203811,-28.594207989169007,-29.316947199537033,-29.643339990567277,-35.14770517766366,-29.051917983789075,6.570344995320894,3.3114712347359005
18,-24.81083272279458,-26.39660859987166,-27.229709155847786,-27.710244434880472,-32.21170122477928,-26.61049840612752,5.632957854873739,3.044379057766832
19,-22.43457694029791,-24.680683516305486,-25.105717476927992,-25.40823740648913,-30.418717010298515,-24.861287860326705,5.632957854873734,2.8067534795171643
20,-20.40327395038201,-22.316883806188848,-22.77579365621842,-23.026731041376607,-26.51198949343401,-22.434576940297994,5.633135682814744,2.6036409633196755
21,-19.151424107177988,-20.33900556207703,-20.760965695456754,-20.992932679493432,-24.678521484323348,-20.447747366193855,5.320385499359701,2.447180960653769
22,-17.788436278085825,-18.98723015266154,-19.560150416451716,-19.867593604914674,-24.782225334416076,-19.21134654003853,5.323488892654339,2.3111925170740166
23,-16.357479666179806,-17.728037588914958,-18.47837791257484,-18.701516584954213,-27.29572617806987,-17.92734220695578,4.871048091867787,2.1228527758047595
