generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-140.87749751672646,-232.18095926519507,-318.16637573317877,-387.6369166247452,-801.9011540818582,-300.8356944819868,18.85113976030025,15.972863727702672
1,-117.82961498803151,-139.33682770865897,-141.1899358410255,-142.5726257223595,-169.4601889398195,-140.8826746448418,17.077889584775267,13.490750457280678
2,-107.40263526727144,-117.20973717155637,-118.58109732130593,-119.17707411092131,-144.68628359620917,-117.87561621991864,14.792349963534646,12.219498523080608
3,-100.2140463590587,-106.38481287673129,-107.93261513778326,-108.30395136821456,-138.6319408809271,-107.39815285097863,14.795293834345472,11.500934019340416
4,-89.77935378915257,-99.75429358079484,-100.77530053057258,-101.78686524358167,-115.61432883781504,-100.38470312520184,12.836782905358517,10.261613669451108
5,-83.42731134870478,-89.12979448095079,-90.08019786595156,-90.6993011320848,-100.8710930547945,-89.78686389405857,11.975639492859115,9.540295084156389
6,-76.83035485065825,-82.65646819173384,-83.58113298744236,-84.18918352864878,-105.13393242881942,-83.42265697942261,11.094740853203165,8.792509570386141
7,-69.81543644880124,-76.2270912665487,-77.22401210318212,-77.85895036000575,-86.33682387989575,-76.82730738836023,9.599280648400367,7.941471709720161
8,-65.89904379051853,-69.3527893872877,-70.24068507517912,-70.86863407185743,-79.19102297536345,-69.84613113960407,9.511694490955984,7.541073828147453
9,-61.450483977185435,-65.77375754564585,-66.58390577357696,-67.16459665273625,-78.23895380501901,-66.14547278266859,9.52364774730048,7.097413172448592
10,-57.143422117574275,-61.14524711423972,-61.67758653640614,-62.17140346306023,-69.94889679302833,-61.45350821641942,9.53774135732428,6.668116347489856
11,-51.949080995913256,-56.962661973880174,-57.65754012437152,-58.12523408148767,-67.80802947893358,-57.19218192784017,8.691363503159167,6.064044449907242
12,-48.83661611038616,-51.59014386550268,-52.21156964576045,-52.558994904758656,-58.361437902091545,-51.95985160388762,8.694459899803137,5.75310760101893
13,-46.2955382511001,-48.61640560605793,-49.435773194703664,-49.76282181076605,-57.83818659530806,-48.997204423158585,8.713749116258782,5.500928736735888
14,-42.60348194865157,-45.975950311716204,-46.687034801200575,-47.09483424357899,-53.93608216621297,-46.31872418621997,8.720208110690658,5.132369005934223
15,-39.97769975545833,-42.35641876176185,-42.9858810033535,-43.4972606855153,-48.03460122583253,-42.62806305880463,7.7975154282689205,4.777521518372725
16,-38.20393973805891,-39.71604857104084,-40.35446205961601,-40.952058758777476,-45.36149547301593,-40.001982024214655,6.926474652165513,4.513041439022442
17,-36.28821234723958,-37.97616377237461,-38.369826590356375,-38.66718003344483,-41.96566398479788,-38.21032086408012,6.603212249596167,4.289142459683575
18,-34.34405493923498,-36.0914745543387,-36.60211552550082,-36.82682810091745,-40.83548715020767,-36.31383131358996,6.606355092368769,4.095041003160374
