generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-98.34024333182639,-261.77313740935534,-342.09293486363043,-412.5778297364812,-794.1979799968694,-314.4475299847734,14.458324968108684,11.279856829993507
1,-91.48796185711107,-97.87858111005694,-99.02527989912025,-100.37370016541858,-114.68069382401228,-98.68951800188836,14.455137598819798,10.594309945593087
2,-85.06156825019588,-90.67856876065242,-92.37988386319483,-92.85585983257927,-117.1996406949464,-91.48162642465255,14.452156881236672,9.951372513143255
3,-74.76451342341679,-84.08369304762573,-85.0173688664317,-86.05890907279186,-95.52705516110295,-85.0711154560892,13.064498045168616,8.78290114685854
4,-69.17104048543837,-74.51667787632837,-75.5816424001855,-76.24357244077818,-89.15307567007146,-74.89152525726959,12.11008766631482,8.128112815175319
5,-64.84225987353057,-68.81000224495084,-69.83128933762951,-70.47138216146367,-81.12828826640987,-69.21363751408757,12.119565414952348,7.696182528848292
6,-59.366401128287606,-64.6867510207982,-65.79441292521845,-66.2576625105779,-84.28666384668334,-65.02505956312136,11.351239028532884,7.071764015682049
7,-56.23305198405578,-59.03060275535514,-59.90877343397212,-60.68196658010863,-67.70450021159999,-59.492487837662566,11.363719166542554,6.759677115059833
8,-53.396480936927645,-55.85113933689051,-57.21807311460632,-57.80448319491154,-68.05631666898562,-56.474250676716025,11.058063203334198,6.445454414026184
9,-49.27366967629668,-53.02914771001055,-53.87981830712366,-54.182634589018605,-62.22609444808654,-53.41890023315048,9.403275890634072,5.867694556693075
10,-46.24880011132409,-49.04186263260604,-49.6841834883554,-49.96419435152141,-55.434572774126515,-49.374287919892055,9.393878084084289,5.564267819540837
11,-41.46572114901143,-45.975495802881746,-46.836573055045235,-47.46733932590554,-52.32904340364415,-46.47370362768399,8.49895871336091,4.996467986237233
12,-38.112483827936906,-41.26954806884671,-42.258882522695956,-42.56287231477547,-49.78098265575308,-41.55018785550051,7.5136665484231235,4.562615037636003
13,-35.19693251115888,-38.04051737857614,-38.711060054114434,-39.12770547455108,-47.54032739893003,-38.31374161906636,7.6681842801764075,4.286511679133528
