generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-132.05979343813294,-254.26150015528168,-351.75030423572326,-422.5532849432938,-768.8140454658385,-320.49634003410654,17.395788602247958,14.94555820403809
1,-115.86387979903265,-130.48755283431635,-131.73955576328788,-133.13021812388996,-151.61686712380393,-132.05836722901603,17.399007867857218,13.326288766688986
2,-102.85314707784488,-115.38403929599718,-116.81461852472032,-117.74044212531157,-136.96034700051732,-116.06315828742436,17.48023222567119,12.033337930351607
3,-88.22439364564248,-101.78348365058216,-103.09746816832866,-103.69106038074099,-131.04842350972316,-102.84348108511121,15.901612870447646,10.412600651609013
4,-76.72529527284338,-87.38689226724213,-88.53638353931079,-89.20901706480053,-103.43725245558039,-88.28028469510099,15.92843724714125,9.265373251998463
5,-68.1672981031247,-76.37962485560386,-77.9295619612486,-78.79270631338382,-97.28260581194223,-76.86269668174116,15.948855538563258,8.411615364168794
6,-62.78872267005293,-67.63292189998721,-68.75515749352631,-69.67301753267262,-83.32315647270518,-68.25518899214887,15.80557761455055,7.8594300284603476
7,-55.07125110426365,-61.979723931173396,-63.36734030111943,-64.31305677642858,-73.59797371381657,-62.852557361927396,13.840870826777579,6.891212193104123
8,-50.06585069073465,-54.697184448165174,-55.80761599159126,-56.60002306983571,-68.6914849383991,-55.233220752655775,12.690288201029531,6.275613889176418
9,-44.75802377167896,-49.880834825309776,-50.70197794376039,-51.228496849670776,-59.378230281885315,-50.194754080740964,10.878054217628046,5.5636077989307005
10,-42.216350666898386,-44.47605920535314,-45.310597623520586,-45.462616208926114,-53.40029070747785,-44.78979873638386,10.896518505024252,5.311286917192264
11,-38.72145761282049,-41.921375498504176,-42.63926634016262,-43.36398620137385,-48.701428168198,-42.35117680117749,9.895284927952558,4.861674254077305
12,-35.63831302475881,-38.41800083629117,-39.162761450710924,-39.5673985652705,-45.46477598516087,-38.73631057745597,9.895284927952545,4.5533597952711355
13,-33.864289998775554,-35.50916108742084,-36.236000705825475,-36.573733029839474,-41.99205969312057,-35.715294549822005,9.908378665666978,4.377266866444254
14,-31.526023672085504,-33.659207780019706,-34.498422656554794,-34.88194360242941,-45.6369733633495,-34.079389239491675,9.908378665666948,4.143440233775245
15,-28.855096767912155,-31.4444993682688,-32.1549174318713,-32.33875760515107,-41.56803162522971,-31.628699898016038,8.848140445257005,3.770323721316916
16,-26.666605888566934,-28.59930022068457,-29.275689425720316,-29.603031430246382,-36.13653742673769,-28.909539924374798,8.886350867746854,3.555295675631379
17,-24.498925662084897,-26.532215184530727,-27.034154519170926,-27.536379450924464,-31.76652517466286,-26.700931766219178,8.890363795690394,3.338928945777529
18,-23.37302898819716,-24.389702629211,-24.97013242381633,-25.43767601663729,-29.119049163513303,-24.689359521628546,7.8751654626192265,3.1248194450816387
19,-21.192392347569722,-23.252414872371162,-23.98307265000054,-24.07551131741659,-33.27630313403884,-23.453220994941482,7.915124840546614,2.9107517188116336
20,-19.1663005132731,-21.102142146831454,-21.650009770537345,-21.858401613784338,-26.04914577439854,-21.308302562745585,7.915124840546602,2.7081425353819704
21,-17.259155953273982,-19.09092377234717,-19.743824261353033,-19.951262366891385,-25.515199758456703,-19.29809459681396,6.649515117495669,2.390867107076965
22,-15.426813790387422,-17.213622947144735,-17.510135220287903,-17.740767606973467,-21.464912356713416,-17.348195219068486,6.65251143646511,2.2079325226852533
23,-14.632770777289373,-15.372493139659339,-15.73927902387798,-15.949306558645326,-20.49531172768895,-15.498525473866888,6.652511436465126,2.1285282213754497
24,-12.371000341020416,-14.546257681847202,-14.802259430754134,-14.906350087277765,-19.21136248683443,-14.666043958651947,5.8047009910545,1.8175701332074916
25,-11.44631023996169,-12.336748746361916,-12.69976944453534,-12.990808438155511,-15.334794347967847,-12.475108498688956,5.233544610514262,1.667985485047595
26,-10.232521997519456,-11.424366198369619,-11.774208106946118,-11.931080742168778,-15.455164825597578,-11.565102040609695,5.25825417258291,1.5490776170102365
27,-9.541517650478333,-10.206534679550831,-10.603126627460954,-10.868451484497786,-13.566495410994314,-10.3606855667957,5.055299996597635,1.459681764707597
28,-8.950588984662534,-9.50186720553943,-9.884996171018061,-10.141004962277481,-12.542816801986739,-9.63041433494946,5.092051269862789,1.4042640254525323
29,-8.505919963547772,-8.938151782189479,-9.288391929817736,-9.561892446917888,-11.249305533117695,-9.060153590705884,5.101492153366411,1.3607412116914184
30,-7.829188352336514,-8.500160045527322,-8.851901913976358,-9.090131194090265,-13.809483263410744,-8.612453979956129,5.111243958292679,1.2940432310629193
31,-6.951444530225483,-7.809386999980255,-8.157677696196917,-8.337365631384902,-11.578173527955405,-7.883691355647088,5.114240277262096,1.2065684807487578
32,-6.534320402299581,-6.916436083269045,-7.303542269083331,-7.586797394981337,-10.362218277678782,-7.047821300018509,4.954506417024849,1.148882681932443
33,-6.174964220287542,-6.541845333658718,-6.893112907945427,-7.120322786123812,-9.33018386861937,-6.680884854565162,5.006310984159651,1.1181275204447192
34,-5.758954815064463,-6.162341062235242,-6.441085102336656,-6.651895333375611,-8.232055580491178,-6.24944588658491,4.959896358047342,1.0718851173111805
35,-5.268827293693346,-5.747678367934971,-6.076391256644746,-6.265536983725848,-8.530359204317831,-5.852599513216873,4.959896358047335,1.022872365174068
