generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-120.95929203627966,-241.98986891643978,-345.4555348852137,-431.93024084135436,-962.0142665191448,-306.887107942614,19.391075996220792,14.035036803250046
1,-97.88627938068976,-120.5855672300192,-121.93489557860298,-123.27239172376429,-137.65991254183982,-121.31347351810493,19.394152161334283,11.728043154202405
2,-81.67815538174042,-97.1892930434891,-98.65277167274287,-99.40004402134349,-114.91435130807193,-97.93191877063093,17.479807134605302,9.915796251634573
3,-73.94734604702602,-81.24583069987065,-82.45349137366789,-83.09451034334049,-98.07893203857009,-81.73791358105228,17.476741166719904,9.142408721374592
4,-67.37862555546363,-73.67621499111056,-75.01239908093709,-75.72700265246226,-91.47500520207421,-74.14491536514296,15.28389829267457,8.26625238481382
5,-62.5916610817771,-67.04145149067878,-68.3613599229088,-68.99652047690756,-90.01254103324352,-67.54835228581908,15.461080950271276,7.805274203204837
6,-55.9605907980445,-62.56277334676095,-63.63307157531116,-64.31025612507409,-76.4934061075618,-63.0713658081232,14.052614773323006,7.001320557136751
7,-52.34965637994641,-55.79138030445772,-56.84811452906258,-57.33818122464071,-73.85321868003699,-56.09471947909753,14.05303852928876,6.640269490923517
8,-45.21710548261008,-52.13457401853075,-53.21934159353342,-54.04059368815953,-63.69018687431487,-52.57252715677316,13.25073641575214,5.846784189836222
9,-41.56044001972548,-45.00259079705421,-45.68689783991033,-46.288289224504965,-53.18128821642987,-45.292446304345475,13.253758692600622,5.48141987123261
10,-37.92417352168498,-41.545740647815045,-42.513176873465284,-42.89593552188192,-50.590266858717094,-41.77468214239046,12.600194136633405,5.052436765831838
11,-34.015485351677924,-37.88053452567774,-38.92130622490141,-39.583597759265416,-49.2308542707031,-38.09532766394777,11.41230793675808,4.5427793288436
12,-31.03002767578468,-33.89746150619148,-34.338629745538434,-34.51387984170308,-42.73426427976388,-34.045294779964365,9.879832775744356,4.090986045152904
13,-28.73274969257881,-30.963168932467106,-31.796936324332613,-32.18811459797993,-46.23566936079598,-31.16193383675399,9.679078769895764,3.8411828462474573
14,-26.367834013564064,-28.643343134755142,-29.547528295302058,-30.202145135253776,-36.054881851750594,-28.8352110159964,8.492285885497191,3.4860119899061255
15,-24.026155161002222,-26.240471189691316,-26.81268255906182,-27.10143066618349,-31.761364755870858,-26.420891042782042,8.103062032844795,3.212921719384702
16,-22.637691462498434,-23.94065698254331,-24.444350454445438,-24.5479467078927,-28.472642368836958,-24.10969178210468,8.121157643088825,3.075884910558726
17,-20.20711529385785,-22.5339753748304,-23.132834922029314,-23.46209284157413,-28.305963498998814,-22.726854036953128,6.592118235687464,2.6799233529545314
18,-19.035447527248444,-20.083339257918848,-20.648567199143205,-21.165915494620148,-25.57652401992967,-20.287975979959086,6.306189823726902,2.534163735097535
19,-17.99234490839295,-18.963375707807685,-19.318982930725397,-19.457710089822214,-24.50276681298814,-19.086183864214057,6.303055729896044,2.4295400638288998
20,-16.81361559085824,-17.9560008689374,-18.426554916557958,-18.80029522529739,-21.927201084745448,-18.06768296615163,6.282299534184503,2.3095915125042743
21,-15.073770479838407,-16.68857689009532,-17.161555396533046,-17.392821768091828,-21.886920631018608,-16.866499781759728,6.078586776125794,2.11523572559642
22,-13.93722038798819,-15.046268634666095,-15.5021184363764,-15.807090239235908,-19.923388549751753,-15.179267022440404,6.075452682294952,2.0012673070283142
23,-12.743928983078234,-13.916832519541476,-14.397322455955768,-14.650525903455556,-18.87248467435338,-14.119184449898004,5.88570207623733,1.8629631059315566
24,-11.924855825791735,-12.620753148286926,-13.11010825864473,-13.479453422262242,-16.460137441212822,-12.802103211151408,5.885702076237339,1.7810557902029076
25,-10.961824489196228,-11.918371402735229,-12.355699292251218,-12.56873415909537,-16.780545321661894,-12.01892320278221,5.888066500471872,1.6849890989668102
26,-10.181158635774974,-10.93525470354924,-11.309715703505967,-11.455707680026203,-14.282901681278393,-11.058095313319049,5.888066500471886,1.606922513624686
27,-9.413513839176108,-10.1506416156495,-10.524780659290593,-10.779318437257764,-14.342833314558243,-10.32462109935014,5.915944097572283,1.532945793674839
28,-8.900271652139661,-9.376087740506598,-9.707821453823184,-9.881683992909249,-12.277838487760286,-9.455981881979165,5.211503578827051,1.4111775230966712
29,-8.40818044645568,-8.884088329208335,-9.241105409326167,-9.355964515300396,-12.3098939422838,-8.98583479980646,5.202053901965014,1.3610234348420693
30,-7.537365556402256,-8.38972953803538,-8.823073601043335,-8.961967558901772,-13.063818612036457,-8.578677384496253,4.738023562091674,1.227538911849393
31,-6.855730809174266,-7.513216873270246,-7.816154775422936,-7.966707647344036,-10.37270187937002,-7.597165300101571,4.880082023258569,1.1735812832432835
32,-6.190702458742855,-6.811687304220331,-7.175701196127613,-7.299336482698627,-10.54087463327355,-6.923149917937648,4.880082023258566,1.1070784482001421
33,-5.574251193645979,-6.164044812339531,-6.428016064744911,-6.633953198968264,-7.811013910362004,-6.281761342092043,4.880082023258569,1.0454333216904548
34,-5.127778805094207,-5.574251193645981,-5.903311903888705,-6.128690907292091,-8.503525935876581,-5.696545714232393,4.880082023258548,1.0007860828352755
35,-4.408353937719307,-5.127778805094199,-5.545123047858869,-5.865314856285343,-8.743248742580919,-5.27426194204836,4.873749955697475,0.9282103893416782
36,-4.006880937939409,-4.402021870158238,-4.679384942306041,-4.843848764858343,-6.64504657660225,-4.5208584151894184,4.881757680173216,0.8888638618112624
37,-3.574621887168906,-3.9947683842945914,-4.320092971163091,-4.583918343216314,-6.52813809979515,-4.1248997972370685,4.216972828781261,0.7791594715950166
38,-3.152958502801603,-3.5808054663045503,-3.8165966577456802,-3.9236903386113093,-5.496721007623291,-3.643149073341291,4.154910832210607,0.730786933501221
39,-2.770445623938893,-3.1416300654538984,-3.439535514713229,-3.5864635893681993,-6.4093943385562495,-3.2147883271963558,4.16747811837359,0.6937923742312483
40,-2.4145717076657114,-2.770445623938886,-2.9788040065349772,-3.0948094645266657,-4.621376950535642,-2.864026429090604,4.132245700843136,0.6546817408508847
41,-2.0854134841642704,-2.413692819503339,-2.651027317366654,-2.7641913161572096,-5.053042298059432,-2.487913736455496,4.1259136332820425,0.6211327117446312
42,-1.8497794710948687,-2.085413484164258,-2.3471406345436003,-2.459634800989228,-4.141590539866235,-2.1716587482113106,4.122796023981103,0.5972575495075971
43,-1.4983223012335358,-1.8412447622946573,-2.222939106195856,-2.3320529313260234,-8.356770596067722,-2.0543251406714598,4.155254918828842,0.5653577220062378
44,-1.1120015586881458,-1.4972530839599667,-1.7523503407690788,-1.84251190016656,-4.851453848375404,-1.5853649559126421,4.001195475578946,0.5113197034267092
45,-0.9671662565659345,-1.1245688448511437,-1.391608968500739,-1.5844525208163986,-3.1699021082078,-1.229934379745334,4.001195475578946,0.4968361732144881
46,-0.7325455211679017,-0.9968678536264148,-1.2316362282657163,-1.4234303465981988,-2.2330274878093097,-1.1505981674915473,4.839963694569145,0.5572509215737047
47,-0.5342825929863642,-0.7446862278120863,-1.0817277549697495,-1.263310662088732,-3.3778014552746356,-0.8963735608944332,4.843065716270709,0.5377348309257073
48,-0.3229992909073456,-0.5598079513953511,-0.8331563141095718,-0.9695690195500966,-2.601618285032713,-0.7049388365065035,4.828980539513028,0.5151979830420373
49,0.007856961500954718,-0.32373990471413716,-0.598995832925439,-0.8276171118587898,-1.871649046814425,-0.45645701232366376,4.705678707830589,0.4697821746329634
50,0.18476799961108803,0.010958983202520756,-0.2556949481949202,-0.4326780506689545,-1.919802407483873,-0.09905279753857776,4.712010775391669,0.4527242775780581
51,0.35900734131523304,0.1753183227490558,-0.1438492601848634,-0.2755706734427923,-3.14464113723987,0.06686956589588178,4.672395478112278,0.4313388136797045
52,0.6964690211971156,0.3575848783548139,0.08219605211131806,-0.0092428236301485,-1.664190285369063,0.2706816169644424,5.024505520182844,0.43280364989857284
53,0.9519485125027431,0.6921843656223094,0.42464651336783593,0.345276409988851,-2.750178178361658,0.5805104757927286,5.290679768967666,0.43387312564649233
54,1.1444293938681103,0.9330149435318944,0.6658889701582011,0.5081181132687966,-0.7179591605235496,0.8073686501355741,5.852381229910928,0.4707951836042818
55,1.400404381553031,1.1371002259014862,0.8867111945061632,0.7418387892075957,-1.6198380982376737,1.0082774745642884,5.8560805393674595,0.4455676157814428
56,1.7161989683967258,1.3909774954339973,1.1651789838559172,1.05785578698785,-0.5967388464156391,1.250486785338211,6.18340017998565,0.4467201211588924
57,2.0728344700735812,1.6789711496540747,1.3642772757655297,1.2338795176531594,-1.5239639609876292,1.5593376550299585,7.231158807233152,0.5158324337159571
58,2.215871465996096,2.0547399004852664,1.766090657870811,1.5811169856035372,0.14517183308136072,1.9229644119169875,7.195236840925335,0.4979365374929239
59,2.4088654272751002,2.200214741836505,1.8848466429673574,1.7810566639705394,-4.392993188021119,2.0984290943641404,8.097336490050283,0.5688471062775183
60,2.6481364382967527,2.3878021516505097,2.055343090486795,1.904202575864728,-0.987344412804859,2.28274835750106,8.56350783918028,0.5915371400883528
61,2.9221399735342963,2.648160953034626,2.288383945522097,2.0906336815002913,0.0580229830242347,2.449883885335176,8.886772128256096,0.59646321547218
62,3.543458581029104,2.917877760810227,2.3805384809396917,2.272072837301815,-3.0706703035257465,2.7736822461114836,10.913023318767236,0.7369564737738131
63,4.353360424919424,3.552936842375579,3.153580876852919,2.9534376905489603,-1.015270039252954,3.359894190060424,12.421707853628627,0.8068347428709203
64,4.666208338418037,4.364775820871662,3.9568480103645354,3.740879808742722,1.4807281068077085,4.247062999165399,12.29174800451158,0.7625539666093544
65,5.304703465054319,4.641128831827227,3.9186648801389716,3.741027119620206,-14.89856325834381,4.347048682155971,13.781781817089856,0.8477078352035536
66,5.952897986125826,5.316755701685269,4.78215836186769,4.524527589762819,0.11958786383634923,5.07473353159192,16.506692714693823,1.0553794728567998
67,6.429808891680263,5.949479541595885,5.184819910925659,5.140583015329003,-1.9216749716578363,5.65353956763921,17.103166077354917,1.0673357185674655
