generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-114.09660173026414,-228.08989147650098,-325.91945823319435,-401.4931577103234,-888.1687660733542,-302.92094997489795,21.61460212379289,13.571120385405704
1,-102.84303745222178,-112.92993410466363,-114.30239827258865,-115.54704866710394,-129.84483976870646,-114.07641156409302,21.630237781601572,12.447327523382334
2,-93.84511962420687,-102.2691666054021,-103.60580852395394,-104.49918498767002,-124.84397889989279,-102.89386364732894,21.679930335029905,11.552504995923679
3,-79.24402637955659,-93.20827875783401,-94.3534032445867,-95.76276302844386,-113.44164824654197,-93.93828286461124,18.57035831622518,9.781438469578177
4,-68.48295570450779,-78.8296968627992,-80.19877465111077,-80.52591681869711,-107.40009748806358,-79.24395156472494,17.036710930581243,8.551966663508903
5,-63.54319515229555,-68.1742926036363,-69.19480214110375,-69.51672228350188,-86.30057813881052,-68.61369898422791,16.50515383829934,8.004834899059489
6,-57.69313046933927,-62.82302790206889,-63.7957630512369,-64.42673491966406,-77.8712897584688,-63.58912730085536,15.47791487074364,7.3171045340082905
7,-53.47539626492275,-57.39892082858543,-58.32201457324039,-58.868489273918605,-67.54447263991422,-57.81535538625084,13.830834055799752,6.73062303207225
8,-49.062404206705516,-53.1154875537043,-54.35663322862089,-55.16237767484197,-66.88536284288101,-53.56782554857505,13.821456097846832,6.288386030455235
9,-45.41914634562942,-48.93177173556104,-49.59422878424891,-50.63031103828182,-57.09890390046126,-49.25242796620534,12.77998815257544,5.819913449820486
10,-42.5370441242397,-45.10267824166837,-46.08460713007189,-46.20393336148819,-57.03085659962184,-45.451989078281024,12.776394454473946,5.531343857871365
11,-39.79246281198188,-42.174677863072645,-42.93233903042942,-43.3621858066014,-50.55727548838041,-42.53990094783478,11.78066217472343,5.157312498670531
12,-37.07106211855872,-39.63076103077036,-40.27036239266455,-40.74233026803714,-49.29989862850457,-39.922824057102815,11.796427628594438,4.886748974715315
13,-34.71785134060888,-36.88465544679728,-37.669893808953475,-38.02730425052006,-45.34124278131202,-37.18353157189375,10.882182373925957,4.560003371453484
14,-32.04667964945827,-34.419021702589745,-35.123777729881176,-35.70944394307678,-40.31787086091245,-34.759578820237806,10.901865385510845,4.294854503496912
15,-29.86997282198604,-31.9444881546273,-32.64370614305374,-33.05715277299468,-40.65761368944506,-32.164080875764114,10.901865385510803,4.077183820749684
16,-28.391478300571567,-29.63835701874062,-30.21770009042298,-30.69166172182379,-34.45026117001692,-29.873418952204865,10.973531166178287,3.9365009466749856
17,-25.890426927642455,-28.173534275042215,-28.995622582440138,-29.604743360854705,-34.458479699306295,-28.642011325980615,9.65438026942152,3.5544807197063975
18,-23.871882847466544,-25.825566361318376,-26.644815694995366,-26.862477957591906,-45.418988175281314,-26.100817741227868,9.651293675050864,3.352317652251741
19,-22.338771469648098,-23.712308002958324,-24.353990906008015,-24.4226923088428,-36.65673569983758,-23.881824896622938,9.41764146711228,3.175641293676038
20,-20.595709663334357,-22.307751760492202,-22.9587675810718,-23.28843119898216,-30.038369385280497,-22.492515744795284,9.228027198118983,2.9823736861453343
21,-19.55547853888234,-20.55052707894342,-21.03141058728467,-21.178767674367748,-25.403799795440595,-20.716505338666767,8.350681011326738,2.790615955020908
22,-18.192253377974083,-19.51118038928275,-20.03876961720116,-20.132142028804722,-29.723011673329786,-19.675545644320145,8.32887145482243,2.652112483279651
23,-17.000908212555075,-18.10702905558548,-18.700108869096063,-19.076357259944714,-23.027675608806007,-18.30213745066799,8.328871454822433,2.532977966737751
24,-15.779455323848879,-16.93445114051184,-17.385870315381098,-17.672836014776685,-22.42495119391475,-17.046267524575097,8.347368827703697,2.4126824151552575
25,-14.97207077045672,-15.750671673119628,-16.325101522491256,-16.698310482134033,-23.52963635779583,-15.897894547622954,8.347368827703727,2.3319439598160447
26,-14.186485300535626,-14.931312450111834,-15.461649702721862,-15.852939969539138,-19.245014593150906,-15.09790576792037,7.772622018486295,2.195910731902192
27,-13.308279905494421,-14.166628485137576,-14.609149393491705,-14.755028355202732,-18.302651907836157,-14.326016460189276,8.06913518451512,2.1377415090009544
28,-12.543308951419538,-13.198293505805761,-13.645743693757291,-13.824304706540763,-17.119241611173912,-13.381460766022297,8.063075711570685,2.0606384662990225
29,-11.580868738760074,-12.5301514461557,-13.1183794921547,-13.221356684937893,-23.270119195757403,-12.729740871694368,7.996968101950095,1.957783684071017
30,-10.414981172652455,-11.458495901632565,-11.842786947656823,-12.015026527514479,-15.016483863884593,-11.582085838252361,6.97497174373351,1.7389952916385967
31,-9.871345568255357,-10.411828990669012,-10.927164950246388,-11.07247881220307,-15.319677999916001,-10.570905478824526,6.780193245078263,1.665153881333362
32,-8.933469661195405,-9.847713940105901,-10.199716488599897,-10.31529019876696,-15.332975478887022,-9.98045764566325,6.371339590758385,1.530480925195379
